ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext		
uwp-bvt-23	0		user	What meetings do I have this morning?	CALENDAR	find_calendar_entry	What meetings do I have <start_time>this morning</start_time>?	[]			
uwp-bvt-24	0		user	How does my schedule look this morning?	CALENDAR	find_calendar_entry	How does my schedule look <start_time>this morning</start_time>?	[]			
uwp-bvt-25	0		user	Any meetings this morning?	CALENDAR	find_calendar_entry	Any meetings <start_time>this morning</start_time>?	[]			
uwp-bvt-26	0		user	What do I have at 8 am or 2pm tomorrow?	CALENDAR	find_calendar_entry	What do I have at <start_time>8 am</start_time> or <start_time>2pm</start_time> <start_date>tomorrow</start_date>?	[]			
uwp-bvt-27	0		user	Any meetings at 2pm tomorrow?	CALENDAR	find_calendar_entry	Any meetings at <start_time>2pm</start_time> <start_date>tomorrow</start_date>?	[]			
uwp-bvt-28	0		user	Any thing schedule at 2pm tomorrow?	CALENDAR	find_calendar_entry	Any thing schedule at <start_time>2pm</start_time> <start_date>tomorrow</start_date>?	[]			
uwp-bvt-29	0		user	Do I have anything at 2pm tomorrow?	CALENDAR	find_calendar_entry	Do I have anything at <start_time>2pm</start_time> <start_date>tomorrow</start_date>?	[]			
uwp-bvt-30	0		user	What are my morning meetings tomorrow?	CALENDAR	find_calendar_entry	What are my <start_time>morning</start_time> meetings <start_date>tomorrow</start_date>?	[]			
uwp-bvt-31	0		user	What do I have next week?	CALENDAR	find_calendar_entry	What do I have <start_date>next week</start_date>?	[]			
uwp-bvt-32	0		user	What meetings do I have next week?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>next week</start_date>?	[]			
uwp-bvt-33	0		user	Any meetings next week?	CALENDAR	find_calendar_entry	Any meetings <start_date>next week</start_date>?	[]			
uwp-bvt-34	0		user	How does my schedule look next week?	CALENDAR	find_calendar_entry	How does my schedule look <start_date>next week</start_date>?	[]			
uwp-bvt-35	0		user	What is my next meeting?	CALENDAR	find_calendar_entry	What is my <start_time>next</start_time> meeting?	[]			
uwp-bvt-36	0		user	When is my next meeting?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]			
uwp-bvt-37	0		user	When is my up coming meeting?	CALENDAR	find_calendar_when	When is my <start_time>up coming</start_time> meeting?	[]			
uwp-bvt-38	0		user	what meeting is next?	CALENDAR	find_calendar_entry	what meeting is <start_time>next</start_time>?	[]			
uwp-bvt-39	0		user	Create a meeting with David	CALENDAR	create_calendar_entry	Create a meeting with <contact_name>David</contact_name>	[]			
uwp-bvt-40	0		user	Schedule a meeting with David	CALENDAR	create_calendar_entry	Schedule a meeting with <contact_name>David</contact_name>	[]			
uwp-bvt-41	0		user	Add a meeting with David	CALENDAR	create_calendar_entry	Add a meeting with <contact_name>David</contact_name>	[]			
uwp-bvt-42	0		user	Create a meeting with David for Monday	CALENDAR	create_calendar_entry	Create a meeting with <contact_name>David</contact_name> for <start_date>Monday</start_date>	[]			
uwp-bvt-43	0		user	Find time with David tomorrow for design review 	CALENDAR	check_availability	Find time with <contact_name>David</contact_name> <start_date>tomorrow</start_date> for <title>design review</title> 	[]			
frisbee-9	0		user	what is my second meeting tomorrow	CALENDAR	find_calendar_entry	what is my <order_ref>second</order_ref> meeting <start_date>tomorrow</start_date>	[]			
frisbee-10	0		user	what do i have between 10:00 AM and 4:00 PM tomorrow	CALENDAR	find_calendar_entry	what do i have between <start_time>10:00 AM</start_time> and <end_time>4:00 PM</end_time> <start_date>tomorrow</start_date>	[]			
frisbee-11	0		user	what do i have from december 31st till january 2nd	CALENDAR	find_calendar_entry	what do i have from <start_date>december 31st</start_date> till <end_date>january 2nd</end_date>	[]			
frisbee-12	0		user	who is attending my next meeting	CALENDAR	find_calendar_who	who is attending my <start_time>next</start_time> meeting	[]			
frisbee-13	0		user	when is my next meeting	CALENDAR	find_calendar_when	when is my <start_time>next</start_time> meeting	[]			
frisbee-14	0		user	when is my scrum meeting	CALENDAR	find_calendar_when	when is my <title>scrum</title> meeting	[]			
frisbee-15	0		user	cancel scrum meeting	CALENDAR	delete_calendar_entry	cancel <title>scrum</title> meeting	[]			
frisbee-16	0		user	Test scrum team meeting	CALENDAR	find_calendar_entry	<title>Test scrum team</title> meeting	[]			
frisbee-17	0		user	cancel my meeting	CALENDAR	delete_calendar_entry	cancel my meeting	[]			
frisbee-18	0		user	what do i have today	CALENDAR	find_calendar_entry	what do i have <start_date>today</start_date>	[]			
frisbee-30	0		user	cancel my next meeting	CALENDAR	delete_calendar_entry	cancel my <start_time>next</start_time> meeting	[]			
frisbee-31	0		user	cancel meeting at 11:59 PM	CALENDAR	delete_calendar_entry	cancel meeting at <start_time>11:59 PM</start_time>	[]			
frisbee-32	0		user	what do i have next	CALENDAR	find_calendar_entry	what do i have <start_time>next</start_time>	[]			
frisbee-33	0		user	what do i have tomorrow	CALENDAR	find_calendar_entry	what do i have <start_date>tomorrow</start_date>	[]			
frisbee-34	0		user	what do i have tomorrow morning	CALENDAR	find_calendar_entry	what do i have <start_date>tomorrow</start_date> <start_time>morning</start_time>	[]			
frisbee-35	0		user	what do i have tomorrow afternoon	CALENDAR	find_calendar_entry	what do i have <start_date>tomorrow</start_date> <start_time>afternoon</start_time>	[]			
frisbee-36	0		user	what do i have tomorrow evening	CALENDAR	find_calendar_entry	what do i have <start_date>tomorrow</start_date> <start_time>evening</start_time>	[]			
frisbee-37	0		user	what do i have on february 11th	CALENDAR	find_calendar_entry	what do i have on <start_date>february 11th</start_date>	[]			
frisbee-38	0		user	what do i have today at 11:59 PM	CALENDAR	find_calendar_entry	what do i have <start_date>today</start_date> at <start_time>11:59 PM</start_time>	[]			
frisbee-39	0		user	what is my first meeting tomorrow	CALENDAR	find_calendar_entry	what is my <order_ref>first</order_ref> meeting <start_date>tomorrow</start_date>	[]			
frisbee-40	0		user	set up a meeting with peter hasson to review	CALENDAR	create_calendar_entry	set up a meeting with <contact_name>peter hasson</contact_name> to <title>review</title>	[]			
frisbee-42	0		user	set up a meeting with chris write a review	CALENDAR	create_calendar_entry	set up a meeting with <contact_name>chris</contact_name> <title>write a review</title>	[]			
frisbee-44	0		user	set up a meeting with steve rogers to review	CALENDAR	create_calendar_entry	set up a meeting with <contact_name>steve rogers</contact_name> to <title>review</title>	[]			
frisbee-46	0		user	set up a meeting with john gates to review	CALENDAR	create_calendar_entry	set up a meeting with <contact_name>john gates</contact_name> to <title>review</title>	[]			
frisbee-47	0		user	set up a meeting with howard snow to review	CALENDAR	create_calendar_entry	set up a meeting with <contact_name>howard snow</contact_name> to <title>review</title>	[]			
frisbee-48	0		user	set up a meeting with mike morris to review	CALENDAR	create_calendar_entry	set up a meeting with <contact_name>mike morris</contact_name> to <title>review</title>	[]			
frisbee-54	0		user	what do i have on february 10th	CALENDAR	find_calendar_entry	what do i have on <start_date>february 10th</start_date>	[]			
frisbee-55	0		user	what do I have on February 11th	CALENDAR	find_calendar_entry	what do i have on <start_date>february 11th</start_date>	[]			
frisbee-57	0		user	what do i have on february 8th	CALENDAR	find_calendar_entry	what do i have on <start_date>february 8th</start_date>	[]			
frisbee-58	0		user	what do I have from December 31st till January 2nd	CALENDAR	find_calendar_entry	what do I have from <start_date>December 31st</start_date> till <end_date>January 2nd</end_date>	[]			
frisbee-60	0		user	what do i have on february 9th	CALENDAR	find_calendar_entry	what do i have on <start_date>february 9th</start_date>	[]			
1	0		user	add a meeting at 3:00 called marketing	CALENDAR	create_calendar_entry	add a meeting at <start_time> 3:00 </start_time> called <title> marketing </title>	[{"slot_name":"start_time","slot_value":"3:00","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T03:00\" comment=\"ampm\">3:00</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
2	0		user	add car wash to my calendar at 1 in the afternoon on saturday	CALENDAR	create_calendar_entry	add <title> car wash </title> to my calendar at <start_time> 1 in the afternoon </start_time> on <start_date> saturday </start_date>	[{"slot_name":"start_time","slot_value":"1 in the afternoon","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T13\">1 in the afternoon</TIMEX3>"}},{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
3	0		user	add car wash to my calendar at 1 on saturday	CALENDAR	create_calendar_entry	add <title> car wash </title> to my calendar at <start_time> 1 </start_time> on <start_date> saturday </start_date>	[{"slot_name":"start_time","slot_value":"1","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T01\" comment=\"ampm\">1</TIMEX3>"}},{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
4	0		user	add car wash to my calendar at 1 pm on saturday	CALENDAR	create_calendar_entry	add <title> car wash </title> to my calendar at <start_time> 1 pm </start_time> on <start_date> saturday </start_date>	[{"slot_name":"start_time","slot_value":"1 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T13\">1 pm</TIMEX3>"}},{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
5	0		user	add dentist appointment to my calendar at 3:30	CALENDAR	create_calendar_entry	add <title> dentist </title> appointment to my calendar at <start_time> 3:30 </start_time>	[{"slot_name":"start_time","slot_value":"3:30","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T03:30\" comment=\"ampm\">3:30</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
6	0		user	add dentist appointment to my calendar at 3:30 for the 8th	CALENDAR	create_calendar_entry	add <title> dentist </title> appointment to my calendar at <start_time> 3:30 </start_time> for the <start_date> 8th </start_date>	[{"slot_name":"start_time","slot_value":"3:30","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T03:30\" comment=\"ampm\">3:30</TIMEX3>"}},{"slot_name":"start_date","slot_value":"8th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-XX-08\">8th</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
7	0		user	add dentist appointment to my calendar at 3:30 for the 8th of may	CALENDAR	create_calendar_entry	add <title> dentist </title> appointment to my calendar at <start_time> 3:30 </start_time> for the <start_date> 8th of may </start_date>	[{"slot_name":"start_time","slot_value":"3:30","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T03:30\" comment=\"ampm\">3:30</TIMEX3>"}},{"slot_name":"start_date","slot_value":"8th of may","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-05-08\">8th of may</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
8	0		user	add dentist appointment to my calendar at 3:30 pm	CALENDAR	create_calendar_entry	add <title> dentist </title> appointment to my calendar at <start_time> 3:30 pm </start_time>	[{"slot_name":"start_time","slot_value":"3:30 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T15:30\">3:30 pm</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
9	0		user	add dentist appointment to my calendar tomorrow from 3 for an hour and half	CALENDAR	create_calendar_entry	add <title> dentist </title> appointment to my calendar <start_date> tomorrow </start_date> from <start_time> 3 </start_time> for <duration> an hour and half </duration>	[{"slot_name":"start_date","slot_value":"tomorrow","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"2018-01-02\">tomorrow</TIMEX3>"}},{"slot_name":"start_time","slot_value":"3","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T03\" comment=\"ampm\">3</TIMEX3>"}},{"slot_name":"duration","slot_value":"an hour and half","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Duration\" value=\"PT1H30M\">an hour and half</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
10	0		user	add dentist appointment to my calendar tomorrow from 3 to 4:30	CALENDAR	create_calendar_entry	add <title> dentist </title> appointment to my calendar <start_date> tomorrow </start_date> from <start_time> 3 </start_time> to <end_time> 4:30 </end_time>	[{"slot_name":"start_date","slot_value":"tomorrow","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"2018-01-02\">tomorrow</TIMEX3>"}},{"slot_name":"start_time","slot_value":"3","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T03\" comment=\"ampm\">3</TIMEX3>"}},{"slot_name":"end_time","slot_value":"4:30","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T04:30\" comment=\"ampm\">4:30</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
11	0		user	add my connecticut trip to calendar	CALENDAR	create_calendar_entry	add my <title> connecticut trip </title> to calendar	[]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
12	0		user	add party at jane s for saturday evening at 7	CALENDAR	create_calendar_entry	add <title> party </title> at <implicit_location> jane s </implicit_location> for <start_date> saturday </start_date> <start_time> evening at 7 </start_time>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}},{"slot_name":"start_time","slot_value":"evening at 7","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T19\">evening at 7</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
13	0		user	add picture day at school to my calendar for friday, september the 9th from 8 am to 9:30 am	CALENDAR	create_calendar_entry	add <title> picture day at school </title> to my calendar for <start_date> friday, september the 9th </start_date> from <start_time> 8 am </start_time> to <end_time> 9:30 am </end_time>	[{"slot_name":"start_date","slot_value":"friday, september the 9th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-09-09\">friday , september the 9th</TIMEX3>"}},{"slot_name":"start_time","slot_value":"8 am","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T08\">8 am</TIMEX3>"}},{"slot_name":"end_time","slot_value":"9:30 am","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T09:30\">9:30 am</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
14	0		user	add vacation to my calendar it s from july 6th for 2 weeks	CALENDAR	create_calendar_entry	add <title> vacation </title> to my calendar it s from <start_date> july 6th </start_date> for <duration> 2 weeks </duration>	[{"slot_name":"start_date","slot_value":"july 6th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-07-06\">july 6th</TIMEX3>"}},{"slot_name":"duration","slot_value":"2 weeks","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Duration\" value=\"P2W\">2 weeks</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
15	0		user	add vacation to my calendar from july 4th until july 29th	CALENDAR	create_calendar_entry	add <title> vacation </title> to my calendar from <start_date> july 4th </start_date> until <end_date> july 29th </end_date>	[{"slot_name":"start_date","slot_value":"july 4th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-07-04\">july 4th</TIMEX3>"}},{"slot_name":"end_date","slot_value":"july 29th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-07-29\">july 29th</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
16	0		user	am i free	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability>	[{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
17	0		user	am i free at 7 pm	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> at <start_time> 7 pm </start_time>	[{"slot_name":"start_time","slot_value":"7 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T19\">7 pm</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
18	0		user	am i free next friday	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> <start_date> next friday </start_date>	[{"slot_name":"start_date","slot_value":"next friday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"2018-01-12\">next friday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
19	0		user	am i free on friday	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> on <start_date> friday </start_date>	[{"slot_name":"start_date","slot_value":"friday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-5\">friday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
20	0		user	am i free on monday september 9th	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> on <start_date> monday september 9th </start_date>	[{"slot_name":"start_date","slot_value":"monday september 9th","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-09-09\">monday september 9th</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
21	0		user	am i free on saturday	CALENDAR	check_availability	am <relationship_name> i </relationship_name> <availability> free </availability> on <start_date> saturday </start_date>	[{"slot_name":"start_date","slot_value":"saturday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-6\">saturday</TIMEX3>"}},{"slot_name":"relationship_name","slot_value":"i","meta_data":{"CanonicalEntity":"myself"}},{"slot_name":"availability","slot_value":"free","meta_data":{"CanonicalEntity":"free"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
22	0		user	block my calendar from 4 pm wednesday till the end of the day friday for trip to east coast	CALENDAR	block_time	block my calendar from <start_time> 4 pm </start_time> <start_date> wednesday </start_date> till the <end_time> end of the day </end_time> <end_date> friday </end_date> for <title> trip to east coast </title>	[{"slot_name":"start_time","slot_value":"4 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T16\">4 pm</TIMEX3>"}},{"slot_name":"start_date","slot_value":"wednesday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-3\">wednesday</TIMEX3>"}},{"slot_name":"end_time","slot_value":"end of the day","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T23:59\">end of the day</TIMEX3>"}},{"slot_name":"end_date","slot_value":"friday","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Date\" value=\"XXXX-WXX-5\">friday</TIMEX3>"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
23	0		user	can you change next meeting to 5 pm	CALENDAR	change_calendar_entry	can you change <original_start_time> next </original_start_time> meeting to <start_time> 5 pm </start_time>	[{"slot_name":"start_time","slot_value":"5 pm","meta_data":{"Timex":"<TIMEX3 tid=\"0\" type=\"Time\" value=\"T17\">5 pm</TIMEX3>"}},{"slot_name":"original_start_time","slot_value":"next","meta_data":{"CanonicalEntity":"Next"}}]	{"ClientContext_ReferenceTime":["2018-01-01T10:20:30"]}		
