MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
file with attachment from cindy from last week	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> cindy </contact_name_from> from <start_date> last week </start_date>	search_email
files attachment from chris	FILES	 files  <attachment> attachment </attachment> from <contact_name_from> chris </contact_name_from>	search_email
files with attachment from june about teaching	FILES	 files  with <attachment> attachment </attachment> from <start_date> june </start_date> about <keyword> teaching </keyword>	search_email
attachment to mark	FILES	<attachment> attachment </attachment> to <contact_name_to> mark </contact_name_to>	search_email
files from bob with an attachment	FILES	 files  from <contact_name_from> bob </contact_name_from> with an <attachment> attachment </attachment>	search_email
pdf sent attachments	FILES	<attachment_type> pdf </attachment_type> sent <attachment> attachments </attachment>	search_email
find file with attachments for today	FILES	find  file  with <attachment> attachments </attachment> for <start_date> today </start_date>	search_email
show me attachment xlsx with tim	FILES	show me <attachment> attachment </attachment> <attachment_type> xlsx </attachment_type> with <contact_name> tim </contact_name>	search_email
file with onenotes attachments re bills from june 2016 to july 2017	FILES	 file  with <attachment_type> onenotes </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
file to burnhai quarma but only if they have attachments and are from june 1 through june 9	FILES	 file  to <contact_name_to> burnhai quarma </contact_name_to> but only if they have <attachment> attachments </attachment> and are from <start_date> june 1 </start_date> through <end_date> june 9 </end_date>	search_email
file attachment from mom	FILES	 file  <attachment> attachment </attachment> from <relationship_name_from> mom </relationship_name_from>	search_email
file sent from alan from april 2019 with attachment about anniversary party	FILES	 file  sent from <contact_name_from> alan </contact_name_from> from <start_date> april 2019 </start_date> with <attachment> attachment </attachment> about <keyword> anniversary party </keyword>	search_email
messages from dave with vsd attachments	FILES	messages from <contact_name_from> dave </contact_name_from> with <attachment_type> vsd </attachment_type> <attachment> attachments </attachment>	search_email
file with attachment from kelly about surgery	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> kelly </contact_name_from> about <keyword> surgery </keyword>	search_email
files sent from anna three weeks ago with attachment	FILES	 files  sent from <contact_name_from> anna </contact_name_from> <start_date> three weeks ago </start_date> with <attachment> attachment </attachment>	search_email
files from colton with an attachment	FILES	 files  from <contact_name_from> colton </contact_name_from> with an <attachment> attachment </attachment>	search_email
attachment file from goku mpt	FILES	<attachment> attachment </attachment>  file  from <contact_name_from> goku </contact_name_from> <attachment_type> mpt </attachment_type>	search_email
files sent to john with docs attachment	FILES	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> docs </attachment_type> <attachment> attachment </attachment>	search_email
show me all of my file with attachments from december	FILES	show me all of my  file  with <attachment> attachments </attachment> from <start_date> december </start_date>	search_email
attachments for trader joes in file	FILES	<attachment> attachments </attachment> for <keyword> trader joeaposs </keyword> in  file 	search_email
retirement party files with attachment	FILES	<keyword> retirement party </keyword>  files  with <attachment> attachment </attachment>	search_email
message about headphones including attachment	FILES	message about <keyword> headphones </keyword> including <attachment> attachment </attachment>	search_email
business files with attachment from sydney to luke	FILES	<keyword> business </keyword>  files  with <attachment> attachment </attachment> from <contact_name_from> sydney </contact_name_from> to <contact_name_to> luke </contact_name_to>	search_email
files with october attachment	FILES	 files  with <start_date> october </start_date> <attachment> attachment </attachment>	search_email
from cindy attachment ppt	FILES	from <contact_name_from> cindy </contact_name_from> <attachment> attachment </attachment> <attachment_type> ppt </attachment_type>	search_email
with attachments on monday	FILES	with <attachment> attachments </attachment> on <start_date> monday </start_date>	search_email
file about zoning law attachment	FILES	 file  about <keyword> zoning law </keyword> <attachment> attachment </attachment>	search_email
ryan work vst attachment	FILES	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> vst </attachment_type> <attachment> attachment </attachment>	search_email
attachment vcs angelina	FILES	<attachment> attachment </attachment> <attachment_type> vcs </attachment_type> <contact_name> angelina </contact_name>	search_email
download attachment	FILES	download <attachment> attachment </attachment>	search_email
look for pdfs attachments	FILES	look for <attachment_type> pdfs </attachment_type> <attachment> attachments </attachment>	search_email
files about bears with attachment	FILES	 files  about <keyword> bears </keyword> with <attachment> attachment </attachment>	search_email
toothpaste ad attachment in files	FILES	<keyword> toothpaste ad </keyword> <attachment> attachment </attachment> in  files 	search_email
files with ics attachment	FILES	 files  with <attachment_type> ics </attachment_type> <attachment> attachment </attachment>	search_email
attachments from jason	FILES	<attachment> attachments </attachment> from <contact_name_from> jason </contact_name_from>	search_email
file in july with fireworks attachment	FILES	 file  in <start_date> july </start_date> with <keyword> fireworks </keyword> <attachment> attachment </attachment>	search_email
work files with guidelines attachment	FILES	<user_defined_category> work </user_defined_category>  files  with <keyword> guidelines </keyword> <attachment> attachment </attachment>	search_email
mikes file from december with attachment	FILES	<contact_name> mikes </contact_name>  file  from <start_date> december </start_date> with <attachment> attachment </attachment>	search_email
files with attachment about music	FILES	 files  with <attachment> attachment </attachment> about <keyword> music </keyword>	search_email
what file do i have that contain attachments	FILES	what  file  do i have that contain <attachment> attachments </attachment>	search_email
file from bill with attachment	FILES	 file  from <contact_name_from> bill </contact_name_from> with <attachment> attachment </attachment>	search_email
view files from jerry with powerpoint attachment	FILES	view  files  from <contact_name_from> jerry </contact_name_from> with <attachment_type> powerpoint </attachment_type> <attachment> attachment </attachment>	search_email
attachment files from jake from last month	FILES	<attachment> attachment </attachment>  files  from <contact_name_from> jake </contact_name_from> from <start_date> last month </start_date>	search_email
file sent from ana to rigel 7005 booking group with attachments	FILES	 file  sent from <contact_name_from> ana </contact_name_from> to <contact_name_to> rigel 7005 booking group </contact_name_to> with <attachment> attachments </attachment>	search_email
which files do i have that have attachments	FILES	which  files  do i have that have <attachment> attachments </attachment>	search_email
files with attachment from may 6th to may 8th	FILES	 files  with <attachment> attachment </attachment> from <start_date> may 6th </start_date> to <end_date> may 8th </end_date>	search_email
files featuring attachments	FILES	 files  featuring <attachment> attachments </attachment>	search_email
file with attachments dated november 2019	FILES	 file  with <attachment> attachments </attachment> dated <start_date> november 2019 </start_date>	search_email
file sent from a long march 18th with attachment	FILES	 file  sent from <contact_name_from> a long </contact_name_from> <start_date> march 18th </start_date> with <attachment> attachment </attachment>	search_email
goku attachments school	FILES	<contact_name> goku </contact_name> <attachment> attachments </attachment> <keyword> school </keyword>	search_email
file from trisha with attachment from last week	FILES	 file  from <contact_name_from> trisha </contact_name_from> with <attachment> attachment </attachment> from <start_date> last week </start_date>	search_email
view file from jerry with words attachment	FILES	view  file  from <contact_name_from> jerry </contact_name_from> with <attachment_type> words </attachment_type> <attachment> attachment </attachment>	search_email
i need files with attachments received last week	FILES	i need  files  with <attachment> attachments </attachment> received <start_date> last week </start_date>	search_email
find any file from may with attachments	FILES	find any  file  from <start_date> may </start_date> with <attachment> attachments </attachment>	search_email
file on vacation with attachment	FILES	 file  on <keyword> vacation </keyword> with <attachment> attachment </attachment>	search_email
find vivs files with slides attachment	FILES	find <contact_name> viv </contact_name> s  files  with <attachment_type> slides </attachment_type> <attachment> attachment </attachment>	search_email
attachment files from goku excel	FILES	<attachment> attachment </attachment>  files  from <contact_name_from> goku </contact_name_from> <attachment_type> excel </attachment_type>	search_email
from trevor with attachment	FILES	from <contact_name_from> trevor </contact_name_from> with <attachment> attachment </attachment>	search_email
show files from andrew with vdw attachments	FILES	show  files  from <contact_name_from> andrew </contact_name_from> with <attachment_type> vdw </attachment_type> <attachment> attachments </attachment>	search_email
file to reginald with attachment from last month	FILES	 file  to <contact_name_to> reginald </contact_name_to> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
files including football attachments	FILES	 files  including <keyword> football </keyword> <attachment> attachments </attachment>	search_email
decks attachments from lia	FILES	<attachment_type> decks </attachment_type> <attachment> attachments </attachment> from <contact_name_from> lia </contact_name_from>	search_email
files with frog ics attachment	FILES	 files  with <keyword> frog </keyword> <attachment_type> ics </attachment_type> <attachment> attachment </attachment>	search_email
files with ics attachments	FILES	 files  with <attachment_type> ics </attachment_type> <attachment> attachments </attachment>	search_email
files about renovation project from michael with attachment	FILES	 files  about <keyword> renovation project </keyword> from <contact_name_from> michael </contact_name_from> with <attachment> attachment </attachment>	search_email
view june files with attachments	FILES	view <start_date> june </start_date>  files  with <attachment> attachments </attachment>	search_email
file that has six attachments	FILES	 file  that has six <attachment> attachments </attachment>	search_email
stacey hot chocolate pastry sent to files powerpoints attachment	FILES	<keyword> stacey hot chocolate pastry </keyword> sent to  files  <attachment_type> powerpoints </attachment_type> <attachment> attachment </attachment>	search_email
files sent to john with vsdm attachment	FILES	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> vsdm </attachment_type> <attachment> attachment </attachment>	search_email
file from saurabh with attachments	FILES	 file  from <contact_name_from> saurabh </contact_name_from> with <attachment> attachments </attachment>	search_email
my recent file with attachments	FILES	my <order_ref> recent </order_ref>  file  with <attachment> attachments </attachment>	search_email
file with surgeon update mpp attachment	FILES	 file  with <keyword> surgeon update </keyword> <attachment_type> mpp </attachment_type> <attachment> attachment </attachment>	search_email
attachments in file vst	FILES	<attachment> attachments </attachment> in  file  <attachment_type> vst </attachment_type>	search_email
file from january with attachments	FILES	 file  from <start_date> january </start_date> with <attachment> attachments </attachment>	search_email
attachments opened with received file	FILES	<attachment> attachments </attachment> opened with received  file 	search_email
files from mark to ned with attachments	FILES	 files  from <contact_name_from> mark </contact_name_from> to <contact_name_to> ned </contact_name_to> with <attachment> attachments </attachment>	search_email
files with vsdm attachment from last two months	FILES	 files  with <attachment_type> vsdm </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
waynes files from october with attachments	FILES	<contact_name> wayne </contact_name> s  files  from <start_date> october </start_date> with <attachment> attachments </attachment>	search_email
tim with decks attachments	FILES	<contact_name> tim </contact_name> with <attachment_type> decks </attachment_type> <attachment> attachments </attachment>	search_email
attachments files from june 5	FILES	<attachment> attachments </attachment>  files  from <start_date> june 5 </start_date>	search_email
files with docx attachment from april	FILES	 files  with <attachment_type> docx </attachment_type> <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
files with attachment pptx	FILES	 files  with <attachment> attachment </attachment> <attachment_type> pptx </attachment_type>	search_email
whats last attachment that jim boyle sent me	FILES	whats <order_ref> last </order_ref> <attachment> attachment </attachment> that <contact_name_from> jim boyle </contact_name_from> sent <contact_name_to> me </contact_name_to>	search_email
attachments from patricia	FILES	<attachment> attachments </attachment> from <contact_name_from> patricia </contact_name_from>	search_email
files about concert tickets with attachment sent in december 2019	FILES	 files  about <keyword> concert tickets </keyword> with <attachment> attachment </attachment> sent in <start_date> december 2019 </start_date>	search_email
files with ppts attachments re bills from june 2016 to july 2017	FILES	 files  with <attachment_type> ppts </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
file from belle from september with attachment	FILES	 file  from <contact_name_from> belle </contact_name_from> from <start_date> september </start_date> with <attachment> attachment </attachment>	search_email
files with youtube powerpoint attachments between april and may	FILES	 files  with <keyword> youtube </keyword> <attachment_type> powerpoint </attachment_type> <attachment> attachments </attachment> between <start_date> april </start_date> and <end_date> may </end_date>	search_email
deck hasattachmentstrue	FILES	<attachment_type> deck </attachment_type> hasattachmentstrue	search_email
file from greg with attachment about part	FILES	 file  from <contact_name_from> greg </contact_name_from> with <attachment> attachment </attachment> about <keyword> part </keyword>	search_email
attachment from mom party	FILES	<attachment> attachment </attachment> from <relationship_name_from> mom </relationship_name_from> <keyword> party </keyword>	search_email
show me attachments	FILES	show me <attachment> attachments </attachment>	search_email
file with attachment from may 6th to may 8th	FILES	 file  with <attachment> attachment </attachment> from <start_date> may 6th </start_date> to <end_date> may 8th </end_date>	search_email
worksheet attachment to jack	FILES	<attachment_type> worksheet </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jack </contact_name_to>	search_email
from fbi contains attachments	FILES	from <contact_name_from> fbi </contact_name_from> contains <attachment> attachments </attachment>	search_email
im looking for files that barb sent me that included attachment	FILES	im looking for  files  that <contact_name_from> barb </contact_name_from> sent me that included <attachment> attachment </attachment>	search_email
file tom with attachment	FILES	 file  <contact_name> tom </contact_name> with <attachment> attachment </attachment>	search_email
attachments included with file	FILES	<attachment> attachments </attachment> included with  file 	search_email
find my files with attachment	FILES	find my  files  with <attachment> attachment </attachment>	search_email
play file from allison with slides attachment	FILES	play  file  from <contact_name_from> allison </contact_name_from> with <attachment_type> slides </attachment_type> <attachment> attachment </attachment>	search_email
msg attachment from january	FILES	<attachment_type> msg </attachment_type> <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
files from joe onenotes attachment	FILES	 files  from <contact_name_from> joe </contact_name_from> <attachment_type> onenotes </attachment_type> <attachment> attachment </attachment>	search_email
file from bill and linda with attachment from may	FILES	 file  from <contact_name_from> bill </contact_name_from> and <contact_name_from> linda </contact_name_from> with <attachment> attachment </attachment> from <start_date> may </start_date>	search_email
message from morty contains attachment	FILES	message from <contact_name_from> morty </contact_name_from> contains <attachment> attachment </attachment>	search_email
joyces attachments	FILES	<contact_name> joyce </contact_name> s <attachment> attachments </attachment>	search_email
file with multiple attachmentes	FILES	 file  with <emailsearch_other> multiple </emailsearch_other> <attachment> attachmentes </attachment>	search_email
i need to see any files received last may that had attachments	FILES	i need to see any  files  received <start_date> last may </start_date> that had <attachment> attachments </attachment>	search_email
find all file attachments	FILES	find all  file  <attachment> attachments </attachment>	search_email
files having attachments from salva	FILES	 files  having <attachment> attachments </attachment> from <contact_name_from> salva </contact_name_from>	search_email
vacation leave request file from eric with attachment from june	FILES	<keyword> vacation leave request </keyword>  file  from <contact_name_from> eric </contact_name_from> with <attachment> attachment </attachment> from <start_date> june </start_date>	search_email
file from anna to bates about engagement with excels attachments from june 2015	FILES	 file  from <contact_name_from> anna </contact_name_from> to <contact_name_to> bates </contact_name_to> about <keyword> engagement </keyword> with <attachment_type> excels </attachment_type> <attachment> attachments </attachment> from <start_date> june 2015 </start_date>	search_email
files from jackie about presentation with attachment	FILES	 files  from <contact_name_from> jackie </contact_name_from> about <keyword> presentation </keyword> with <attachment> attachment </attachment>	search_email
attachment received in last month	FILES	<attachment> attachment </attachment> received in <start_date> last month </start_date>	search_email
files from christian and june with attachment	FILES	 files  from <contact_name_from> christian </contact_name_from> and <contact_name_from> june </contact_name_from> with <attachment> attachment </attachment>	search_email
attachment file	FILES	<attachment> attachment </attachment>  file 	search_email
ryan work spreadsheet attachment	FILES	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> spreadsheet </attachment_type> <attachment> attachment </attachment>	search_email
view file from jerry with presentation attachment	FILES	view  file  from <contact_name_from> jerry </contact_name_from> with <attachment_type> presentation </attachment_type> <attachment> attachment </attachment>	search_email
files with single attachments	FILES	 files  with single <attachment> attachments </attachment>	search_email
document attachment from dad	FILES	<attachment_type> document </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
anniversary files with attachments between june and july	FILES	<keyword> anniversary </keyword>  files  with <attachment> attachments </attachment> between <start_date> june </start_date> and <end_date> july </end_date>	search_email
attachments sent to me	FILES	<attachment> attachments </attachment> sent to <relationship_name_to> me </relationship_name_to>	search_email
look for attachments in response with finance topic	FILES	look for <attachment> attachments </attachment> in <keyword> response with finance </keyword> topic	search_email
file with attachment from ryan	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> ryan </contact_name_from>	search_email
find attachments in my files	FILES	find <attachment> attachments </attachment> in my  files 	search_email
find any files from may with attachments	FILES	find any  files  from <start_date> may </start_date> with <attachment> attachments </attachment>	search_email
files sent with an attachment	FILES	 files  sent with an <attachment> attachment </attachment>	search_email
search for files sent to todd that contain vcs attachments	FILES	search for  files  sent to <contact_name_to> todd </contact_name_to> that contain <attachment_type> vcs </attachment_type> <attachment> attachments </attachment>	search_email
search for file with an attachment i sent to paul	FILES	search for  file  with an <attachment> attachment </attachment> i sent to <contact_name_to> paul </contact_name_to>	search_email
please show me attachments in file	FILES	please show me <attachment> attachments </attachment> in  file 	search_email
file that has attachments from november	FILES	 file  that has <attachment> attachments </attachment> from <start_date> november </start_date>	search_email
find vivs file with xlsx attachment	FILES	find <contact_name> viv </contact_name> s  file  with <attachment_type> xlsx </attachment_type> <attachment> attachment </attachment>	search_email
look for messages with presentations attachments	FILES	look for messages with <attachment_type> presentations </attachment_type> <attachment> attachments </attachment>	search_email
find files barb sent that had an attachment	FILES	find  files  <contact_name_from> barb </contact_name_from> sent that had an <attachment> attachment </attachment>	search_email
files with attachments march 1	FILES	 files  with <attachment> attachments </attachment> <start_date> march 1 </start_date>	search_email
file that contains new attachment	FILES	 file  that contains <message_category> new </message_category> <attachment> attachment </attachment>	search_email
to hilary onenote attachment	FILES	to <contact_name_to> hilary </contact_name_to> <attachment_type> onenote </attachment_type> <attachment> attachment </attachment>	search_email
file attachments vons market	FILES	 file  <attachment> attachments </attachment> <keyword> vons market </keyword>	search_email
files with documents attachment	FILES	 files  with <attachment_type> documents </attachment_type> <attachment> attachment </attachment>	search_email
attachment sent vssx	FILES	<attachment> attachment </attachment> sent <attachment_type> vssx </attachment_type>	search_email
onenote attachments from last week	FILES	<attachment_type> onenote </attachment_type> <attachment> attachments </attachment> from <start_date> last week </start_date>	search_email
files that have attachments and are from molly	FILES	 files  that have <attachment> attachments </attachment> and are from <contact_name_from> molly </contact_name_from>	search_email
file from january to don with attachment doc	FILES	 file  from <start_date> january </start_date> to <contact_name_to> don </contact_name_to> with <attachment> attachment </attachment> <attachment_type> doc </attachment_type>	search_email
view file with onenote attachments	FILES	view  file  with <attachment_type> onenote </attachment_type> <attachment> attachments </attachment>	search_email
attachments from turk	FILES	<attachment> attachments </attachment> from <contact_name_from> turk </contact_name_from>	search_email
file from tim with attachments about knives	FILES	 file  from <contact_name_from> tim </contact_name_from> with <attachment> attachments </attachment> about <keyword> knives </keyword>	search_email
files from kalyan with attachment	FILES	 files  from <contact_name_from> kalyan </contact_name_from> with <attachment> attachment </attachment>	search_email
file with tsv attachments from february	FILES	 file  with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment> from <start_date> february </start_date>	search_email
attachments in file	FILES	<attachment> attachments </attachment> in  file 	search_email
birthday files with attachment from andrea	FILES	<keyword> birthday </keyword>  files  with <attachment> attachment </attachment> from <contact_name_from> andrea </contact_name_from>	search_email
onenotes attachment in files	FILES	<attachment_type> onenotes </attachment_type> <attachment> attachment </attachment> in  files 	search_email
show files from ed with attachment	FILES	show  files  from <contact_name_from> ed </contact_name_from> with <attachment> attachment </attachment>	search_email
files with excels attachments re bills from june 2016 to july 2017	FILES	 files  with <attachment_type> excels </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
look for file with xlsx attachments	FILES	look for  file  with <attachment_type> xlsx </attachment_type> <attachment> attachments </attachment>	search_email
play file from allison with vssx attachment	FILES	play  file  from <contact_name_from> allison </contact_name_from> with <attachment_type> vssx </attachment_type> <attachment> attachment </attachment>	search_email
file to jonny that have an attachment from january	FILES	 file  to <contact_name_to> jonny </contact_name_to> that have an <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
view file from jerry with doc attachment	FILES	view  file  from <contact_name_from> jerry </contact_name_from> with <attachment_type> doc </attachment_type> <attachment> attachment </attachment>	search_email
from kevin price with attachment	FILES	from <contact_name_from> kevin price </contact_name_from> with <attachment> attachment </attachment>	search_email
file with attachment from mary re fishing	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> mary </contact_name_from> re <keyword> fishing </keyword>	search_email
give me file to paul with an attachment	FILES	give me  file  to <contact_name_to> paul </contact_name_to> with an <attachment> attachment </attachment>	search_email
file from gilligan to skipper with attachment about repairing minnow from july	FILES	 file  from <contact_name_from> gilligan </contact_name_from> to <contact_name_to> skipper </contact_name_to> with <attachment> attachment </attachment> about <keyword> repairing minnow </keyword> from <start_date> july </start_date>	search_email
show all incoming files with attachments	FILES	show <emailsearch_other> all </emailsearch_other> incoming  files  with <attachment> attachments </attachment>	search_email
files from steve with an attachment	FILES	 files  from <contact_name_from> steve </contact_name_from> with an <attachment> attachment </attachment>	search_email
show me files from sonia with msg attachments	FILES	show me  files  from <contact_name_from> sonia </contact_name_from> with <attachment_type> msg </attachment_type> attachments	search_email
files with attachment of spreadsheets	FILES	 files  with <attachment> attachment </attachment> of <attachment_type> spreadsheets </attachment_type>	search_email
pull up any files with attachments from greg	FILES	pull up any  files  with <attachment> attachments </attachment> from <contact_name_from> greg </contact_name_from>	search_email
files attachment by monica	FILES	 files  <attachment> attachment </attachment> by <contact_name_from> monica </contact_name_from>	search_email
to tim with attachment las vega	FILES	to <contact_name_to> tim </contact_name_to> with <attachment> attachment </attachment> <keyword> las vega </keyword>	search_email
from lia powerpoints attachment	FILES	from <contact_name_from> lia </contact_name_from> <attachment_type> powerpoints </attachment_type> <attachment> attachment </attachment>	search_email
kristy with attachment ics	FILES	<contact_name> kristy </contact_name> with <attachment> attachment </attachment> <attachment_type> ics </attachment_type>	search_email
files with ppt attachment from jack	FILES	 files  with <attachment_type> ppt </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
show all files with attachments added	FILES	show all  files  with <attachment> attachments </attachment> added	search_email
files with attachment on singing	FILES	 files  with <attachment> attachment </attachment> on <keyword> singing </keyword>	search_email
files to elvira from october with attachment	FILES	 files  to <contact_name_to> elvira </contact_name_to> from <start_date> october </start_date> with <attachment> attachment </attachment>	search_email
file to valerie with attachments from august and september	FILES	 file  to <contact_name_to> valerie </contact_name_to> with <attachment> attachments </attachment> from <start_date> august </start_date> and <end_date> september </end_date>	search_email
files with attachment in date range june to july 2019	FILES	 files  with <attachment> attachment </attachment> in date range <start_date> june </start_date> to <end_date> july 2019 </end_date>	search_email
small attachments	FILES	small <attachment> attachments </attachment>	search_email
file from laurie with attachment	FILES	 file  from <contact_name_from> laurie </contact_name_from> with <attachment> attachment </attachment>	search_email
mb assignment file from gayatri with msg attachments	FILES	<keyword> mb assignment </keyword>  file  from <contact_name_from> gayatri </contact_name_from> with <attachment_type> msg </attachment_type> <attachment> attachments </attachment>	search_email
from tim vss attachments	FILES	from <contact_name_from> tim </contact_name_from> <attachment_type> vss </attachment_type> <attachment> attachments </attachment>	search_email
open files with attachments from mary	FILES	open  files  with <attachment> attachments </attachment> from <contact_name_from> mary </contact_name_from>	search_email
find files with an attachment	FILES	find  files  with an <attachment> attachment </attachment>	search_email
file with attachment from kennedy about vacation	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> kennedy </contact_name_from> about <keyword> vacation </keyword>	search_email
find vivs files with vsd attachment	FILES	find <contact_name> viv </contact_name> s  files  with <attachment_type> vsd </attachment_type> <attachment> attachment </attachment>	search_email
davids project update file with attachments	FILES	<contact_name> david </contact_name> s <keyword> project update </keyword>  file  with <attachment> attachments </attachment>	search_email
files with attachment about dogs	FILES	 files  with <attachment> attachment </attachment> about <keyword> dogs </keyword>	search_email
file from robert to cora re chamberlain visit with slides attachments july 2015 to august 2015	FILES	 file  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> re <keyword> chamberlain visit </keyword> with <attachment_type> slides </attachment_type> <attachment> attachments </attachment> <start_date> july 2015 </start_date> to <end_date> august 2015 </end_date>	search_email
files tom with attachment	FILES	 files  <contact_name> tom </contact_name> with <attachment> attachment </attachment>	search_email
mb assignment file from gayatri with xls attachments	FILES	<keyword> mb assignment </keyword>  file  from <contact_name_from> gayatri </contact_name_from> with <attachment_type> xls </attachment_type> <attachment> attachments </attachment>	search_email
find vss attachment	FILES	find <attachment_type> vss </attachment_type> <attachment> attachment </attachment>	search_email
attachment files please	FILES	<attachment> attachment </attachment>  files  please	search_email
attachments from lindsey	FILES	<attachment> attachments </attachment> from <contact_name_from> lindsey </contact_name_from>	search_email
attachment onenote file	FILES	<attachment> attachment </attachment> <attachment_type> onenote </attachment_type>  file 	search_email
show me file from jordan with spec attachments	FILES	show me  file  from <contact_name_from> jordan </contact_name_from> with <attachment_type> spec </attachment_type> attachments	search_email
search for any files with attachments that have topic trip	FILES	search for any  files  with <attachment> attachments </attachment> that have topic <keyword> trip </keyword>	search_email
let me see lauras file that has word attachment	FILES	let me see <contact_name> laura </contact_name> s  file  that has <attachment_type> word </attachment_type> <attachment> attachment </attachment>	search_email
messages from dave with docs attachments	FILES	messages from <contact_name_from> dave </contact_name_from> with <attachment_type> docs </attachment_type> <attachment> attachments </attachment>	search_email
