MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	ConversationContext	Cat
Join my 7:00 AM meeting.	CALENDAR	connect_to_meeting	Join my <start_time>7:00 AM</start_time> meeting.	{'UserFileNames': ['PeopleSearchInTeams', 'Communication and Collaboration - Post Wave 1', 'Cortana UWP app - skill readiness', '2019-11 MSAI IL Research - Task Modeling Overview with Nitin', '01-30-2020 Knowledge Bot - Full', 'Task Assistance Q3-OKR', 'STCI MSAI Shiproom - Current', 'Substrate Partner Discussion with Teams_01_13_2020', 'Spring2020-MLADS-Reviewers', 'Highlights extraction from meeting transcript - Jan 2020', 'The day after - R2 Prep', 'Cosmos Convergence Subs', 'AI 365 30 January 2020', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Argus Models for Microsoft Jan  2020', 'Voice Skills BVT Manual Test Cases (Core)', 'Kingston-WorkingDeck', 'Principal Briefing FINAL Posted Jan 23 2020', 'Cortana in Teams - Working Session - 2020-01-20', 'Kingston'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana teams', 'msai', 'cortana in teams', 'voice skills', 'fy20', 'voice', 'wave 1', 'ai', 'skills test', 'communication collaboration post', 'communication and collaboration', 'collaboration and communication', 'communication collaboration', 'collaboration post wave', 'communication and post', 'teams weekly shiproom', 'collaboration wave 1', 'collaboration post 1', 'voice skills manual']}	NegativeCrossDomainNoMatch
When is my next meeting with Gwen it?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Gwen it</contact_name>?	{'UserFileNames': ['Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Specs+Designs', '202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings', '2019-12-13 Substrate Intelligence-MSAI Manganese Review', 'MSAI Universal Search and Recommendations Pre-read', 'FY21 Substrate Budget Planning', 'GRC Review Office Hours Sign-Up Sheet', 'Namespace Map', 'SM FY20 preview scenarios', 'New Hire', 'Cortana Deprecations Tracker', 'Cortana UWP app - skill readiness', 'Meetings_Backlog_Dec2019', 'M365CoreDataPlane - FY20H2 - Manganese Review-Final_v1.0', 'M365 Search - 3S Instrumentation - Client Contracts', 'Cortana Platform Weekly Shiproom 3Feb2020', 'MSAI Universal Search and Recommendations', 'ManganeseEcosystemOKRs', 'Automatic Meeting Agenda (and Notes) Generation', 'Performance Data'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston device', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'device skills']}	NegativeCrossDomainNoMatch
Connect me to my happening meeting.	CALENDAR	connect_to_meeting	Connect me to my <title>happening meeting</title>.	{'UserFileNames': ['DSAT queries', 'Read Act Compose Framing', 'Manganese-Search', 'CustomizationData_CortanaInTeams_20190620', 'FY20 Annotation Asks', 'One Communications Intelligence Framing', 'LU Brownbag v1', 'COGS and Latency', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Spring2020-MLADS-Reviewers', 'People Skill Voice Module', 'Teams Suggested Tips', '202001_WorkingSession_RoleOfAIInEffectiveMeetings', 'Speech Engine – Personalization', 'Completion Rate Analysis', 'CiT Skills Performance', '01-30-2020 Knowledge Bot - Full', 'Voice Skills BVT Manual Test Cases (Core)', 'Teams Smart Reply - Metrics', 'SR metrics'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston device', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'device skills']}	NegativeCrossDomainNoMatch
I'm I'll available tomorrow 8:00 PM.	CALENDAR	check_availability	I'm I'll <availability>available</availability> <start_date>tomorrow</start_date> <start_time>8:00 PM</start_time>.	{'UserFileNames': ['Extended logging support for MSFT employees', 'Knowledge bot MVP spec - Nov 19', 'Cortana on Windows - Scorecard draft', 'Search fallback on Teams product plan - H2FY20', 'STCI MSAI Shiproom - Current', 'Cortana UWP app - skill readiness', 'Cortana Israel - Action Item extraction - Shiproom', 'Audience Expansion', 'Weekly Whole Page and Answers Ship Meeting', 'CSCW A Study of Meeting Effectiveness and Inclusion in Remote Collaboration', 'A Study of Meeting Effectiveness and Inclusion in Remote Collaboration', 'Movies + Showtimes', 'Highlights extraction from meeting transcript - Jan 2020', 'TVS - Working Session - 20200210', 'Web-knowledge aware experiences', 'Cortana in Teams R2 Weekly Shiproom', 'Deprecation Proposal - January 2020 - LT Review', 'Kingston-WorkingDeck', 'Cortana Deprecations Tracker', 'DeepSpeed with ZeRO Release'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'kingston device', 'device skills']}	NegativeCrossDomainNoMatch
Dial me into my doc meeting.	CALENDAR	connect_to_meeting	Dial me into my <title>doc meeting</title>.	{'UserFileNames': ['Substrate Perf Shiproom - 2020-1-29', '2020_01_SmartComposeMonthlyReview', 'People Also Ask', 'Cortana in Teams R2 Weekly Shiproom', 'Embedded Intelligence Checkpoint (Jan 2020)', 'AI 365 30 January 2020', 'Backlog', 'AI 365 Appendix 30 January 2020', 'KWS Manual Testing', 'Manganese-Search', 'MSAI services B2 Deployment blockers', 'Vendor Allocation', 'MSAI - CSI Work List', 'Android Core skills+Extras', 'M365 Search - 3S Instrumentation - Client Contracts', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'iOS Core Skills + Extras', 'iOS Commute Pass', 'Voice Skills BVT Manual Test Cases (Core)', 'Calendar Quarterly OKR & Check Point FY20Q2'], 'UserFileNameKeyPhrases': ['shiproom', 'voice skills', 'cortana teams', 'okrs', 'msai', 'substrate', 'voice', 'fy20', 'cortana in teams', 'smart in teams', 'smart teams', 'smart reply', 'shiproom 1', 'fy20 okrs', 'weekly', 'skills test', 'israel', 'extraction meeting transcript', 'highlights extraction meeting', 'extraction from transcript']}	NegativeCrossDomainNoMatch
When is my meeting with Michael?	CALENDAR	find_calendar_when	When is my meeting with <contact_name>Michael</contact_name>?	{'UserFileNames': ['CortanaPerfVisualizations', 'AI in M365 for MSAI Customer Deck', 'Applied AI ACR', 'Task Ranking Specs v2', 'S+A OM focused Shiproom 02042020', 'Read Act Compose Framing', 'WDP-Relevance dependencies', 'Web relevance shiproom', 'FY20 Annotation Asks', 'SQL Bits 2020 Walking Deck', 'MVPSummit2020_Sessions', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Do More With Teams Landing Deck', 'Meeting Recap Vision', 'Meetings-feature map', 'Dev', 'ISE2020 Meetings and Devices', 'FY20-Q3-KMI-OKRs', 'MDM Brownbag', 'Completion Rate Analysis'], 'UserFileNameKeyPhrases': ['test cases', 'ios', 'commute', 'test cases report', 'testcasesreport', 'set up cortana', 'cases report', 'set cortana', 'os', 'cases', 'core skills extras', 'extras and skills', 'cases report week', 'skills and extras', 'test report week', 'ios commute pass', 'test cases week', 'core and extras', 'os commute pass', 'cortana teams']}	NegativeCrossDomainNoMatch
What meetings do I have today?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	{'UserFileNames': ['ICE Services Weekly Review', 'Running Feature Rollouts', 'Cortana in Teams R2 Weekly Shiproom', 'DRI', 'iOS Commute Pass', 'Android Core skills+Extras', 'Bugs on Kingston', 'Kingston_Core Skills_Testing', 'iOS Core Skills + Extras', 'Voice Skills BVT Manual Test Cases (Core)', 'Kingston-Device 2-BVT', 'M365 Search - 3S Instrumentation - Client Contracts', 'FY20 Q3 At a Glance - Keypoints', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'User Feedback on Topics (Private Preview)', 'DRI NoteBook', 'Feedback OKRs', 'Voice Skills BVT - basic test cases', 'iOS Commute Pass - Weekly', '2020_01_SmartComposeMonthlyReview'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'cases report', 'cases', 'cortana teams', 'cases report week', 'test report week', 'test cases week', 'set up cortana', 'set cortana', 'cases week', 'test week', 'ios', 'commute', 'test report', 'os', 'report week', 'core skills', 'core skills extras']}	NegativeCrossDomainNoMatch
When is my next meeting with Andy?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Andy</contact_name>?	{'UserFileNames': ['Cortana on Windows - Scorecard draft', 'Teams Mobile Search Dev Spec - Answers', 'Scrum', 'Teams voice', 'AI+R Scorecard', 'Education_Sample_Payload', 'TM onboard', 'Voice skills in Teams Funnel', 'MSAI Cognition H2 OKRs', 'OM onboard', 'Cortana UWP app - skill readiness', 'Meeting', 'Voice Skills BVT Manual Test Cases (Core)', 'bi_telemetry_mobile', 'S+A H2 Planning', 'MVPSummit_MicrosoftTeamsArchitectureSession_March2019', 'Centralized Dashboard', 'Teams Suggested Tips', 'Flighting Plan', "Steve's Team"], 'UserFileNameKeyPhrases': ['shiproom', 'cortana teams', 'msai', 'fy20', 'cortana in teams', 'voice skills', 'voice', 'deprecation', 'wave 1', 'q2', 'ai', 'skills test', 'israel', 'communication collaboration post', 'communication and collaboration', 'collaboration and communication', 'communication collaboration', 'deprecation plan cortana', 'collaboration post wave', 'communication and post']}	NegativeCrossDomainNoMatch
Cortana join the meeting.	CALENDAR	connect_to_meeting	Cortana join the meeting.	{'UserFileNames': ['DSAT queries', 'Read Act Compose Framing', 'Manganese-Search', 'CustomizationData_CortanaInTeams_20190620', 'FY20 Annotation Asks', 'One Communications Intelligence Framing', 'LU Brownbag v1', 'COGS and Latency', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Spring2020-MLADS-Reviewers', 'People Skill Voice Module', 'Teams Suggested Tips', '202001_WorkingSession_RoleOfAIInEffectiveMeetings', 'Speech Engine – Personalization', 'Completion Rate Analysis', 'CiT Skills Performance', '01-30-2020 Knowledge Bot - Full', 'Voice Skills BVT Manual Test Cases (Core)', 'Teams Smart Reply - Metrics', 'SR metrics'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'fy20', 'perf', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'substrate', 'omc', 'substrate perf shiproom', 'substrate shiproom', 'substrate perf', 'perf shiproom', 'fy20 q3', 'focused', 'feedback', 'emails', 'redirection service guide', 'substrate shiproom 2020']}	NegativeCrossDomainNoMatch
Join my Vt meeting.	CALENDAR	connect_to_meeting	Join my <title>Vt</title> meeting.	{'UserFileNames': ['Substrate Perf Shiproom - 2020-1-29', '2020_01_SmartComposeMonthlyReview', 'People Also Ask', 'Cortana in Teams R2 Weekly Shiproom', 'Embedded Intelligence Checkpoint (Jan 2020)', 'AI 365 30 January 2020', 'Backlog', 'AI 365 Appendix 30 January 2020', 'KWS Manual Testing', 'Manganese-Search', 'MSAI services B2 Deployment blockers', 'Vendor Allocation', 'MSAI - CSI Work List', 'Android Core skills+Extras', 'M365 Search - 3S Instrumentation - Client Contracts', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'iOS Core Skills + Extras', 'iOS Commute Pass', 'Voice Skills BVT Manual Test Cases (Core)', 'Calendar Quarterly OKR & Check Point FY20Q2'], 'UserFileNameKeyPhrases': ['set up cortana', 'set cortana', 'commute', 'test cases', 'core skills', 'ios', 'ios commute pass', 'os commute pass', 'commute pass', 'ios commute', 'os commute', 'ios pass', 'os pass', 'os', 'q3', 'cases', 'kingston core skills', 'core skills testing', 'set up compliant', 'kingston device']}	NegativeCrossDomainNoMatch
