TurnNumber	PreviousTurnIntent	query	intent	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext
0		Young school girls caught cheating and made to suck cock	file_other						
0		What day is today	file_other						
0		Can you stop?	file_other						
0		Ask the lady	file_other						
0		Peter rabbit on youtube.com	file_other						
0		gmail inbox	file_other						
0		Find you.	file_other						
0		Tell me a better joke.	file_other						
0		Time is it.	file_other						
0		when does winter end?	file_other						
0		YouTube	file_other						
0		Hey find me some picture that you paint	file_other						
0		What's the most economical printer on the market	file_other						
0		Piano	file_other						
0		Stop that.	file_other						
0		Open folk tales for travelers	file_other						
0		Cheap tickets	file_other						
0		Multiplayer games	file_other						
0		Place	file_other						
0		get Cortana on my phone	file_other						
0		Hotmail	file_other						
0		facebook log in	file_other						
0		facebook log in	file_other						
0		Washington Nationals.	file_other						
0		Me on the floor	file_other						
0		Stop.	file_other						
0		CVS pharmacy	file_other						
0		how many meters in 1 kilometer?	file_other						
0		Stop.	file_other						
0		Stop.	file_other						
0		Hello	file_other						
0		Backgrounds.	file_other						
0		when does the sun set?	file_other						
0		What time is it?	file_other						
0		What is half a Cup in grams?	file_other						
0		What is the actual name of my recovery image file	file_other						
0		YouTube	file_other						
0		Hey Cortana say goodnight.	file_other						
0		Pet	file_other						
0		YouTube.	file_other						
0		What time is it?	file_other						
0		Racist	file_other						
0		yahoo mail login	file_other						
0		Vistaprint	file_other						
0		Cortana	file_other						
0		How do you split the screen?	file_other						
0		facebook log in	file_other						
0		Is IHOP going to change their name?	file_other						
0		did you fart?	file_other						
0		Z	file_other						
0		Define temperature Berg.	file_other						
0		pandora radio	file_other						
0		aol mail	file_other						
0		Cortana thank you for turning on the Wi-Fi	file_other						
0		facebook log in	file_other						
0		Where can I get neutrogena hand lotion that's called light sesame E seed	file_other						
0		How do I turn off the?	file_other						
0		KKK.	file_other						
0		Give me a fact about a kid inventor.	file_other						
0		Stop.	file_other						
0		l.a. dodgers.com	file_other						
0		Where is the sunset in New Delhi	file_other						
0		Stop.	file_other						
0		gmail inbox	file_other						
0		Hey Cortana	file_other						
0		Go to my info	file_other						
0		tell me a joke	file_other						
0		Are you gonna bring your Cortana here too?	file_other						
0		Dragon games	file_other						
0		Community College	file_other						
0		The American .com	file_other						
0		Tell me a joke	file_other						
0		What's the time?	file_other						
0		google maps	file_other						
0		Stop.	file_other						
0		facebook log in	file_other						
0		YouTube	file_other						
0		How do you spell Pacific?	file_other						
0		what's the latest?	file_other						
0		In town	file_other						
0		Bonanza	file_other						
0		What's the price of living for four 1950	file_other						
0		Stormy Daniels nude	file_other						
0		Are you awake?	file_other						
0		Adding Firefox icon to mangti	file_other						
0		Will mom do you know little notifications in my notification area for my stocks that I have 5% to watch over certain stocks I like it when she pops up and says something like?	file_other						
0		I can learn to understand you much better if I can get something	file_other						
0		gmail login	file_other						
0		aol mail login	file_other						
0		What time is it?	file_other						
0		Sing me a song.	file_other						
0		netflix.clm	file_other						
0		Can you believe we're gonna have 6 more weeks of winter?	file_other						
0		End.	file_other						
0		Bar tonight for 9 cartoon	file_other						
0		32*22	file_other						
0		No really.	file_other						
0		Stop.	file_other						
0		google	file_other						
0		Where is desktop located	file_other						
0		Next.	file_other						
0		Cusd	file_other						
0		10:20 what time is it.	file_other						
0		First National Bank	file_other						
0		Connect.	file_other						
0		Who is the smallest person in the world?	file_other						
0		15 minutes.	file_other						
0		What time is it in	file_other						
0		What time is it?	file_other						
0		gmail login	file_other						
0		What time is it?	file_other						
0		What's up?	file_other						
0		Stop.	file_other						
0		Play penthouse magazine girls	file_other						
0		Tight foreskin videos	file_other						
0		What is a synonym for currency	file_other						
0		I get alijah lift.	file_other						
0		Track my package.	file_other						
0		nitro	file_other						
0		Yahoo sign in	file_other						
0		open norton	file_other						
0		Cool math games	file_other						
0		New York and company	file_other						
0		FC Barcelona.	file_other						
0		Wellsfargo.com	file_other						
0		aol mail login	file_other						
0		Stop.	file_other						
0		Open facebook.com	file_other						
0		facebook log in	file_other						
0		Todd	file_other						
0		Tiani King Instagram	file_other						
0		Just a little bit longer.	file_other						
0		Tell.	file_other						
0		Stop.	file_other						
0		say something funny	file_other						
0		Find tune get	file_other						
0		Number not on my playlist work in windows media player	file_other						
0		Elsa dress up for mobile game	file_other						
0		What does standard mean?	file_other						
0		How do I update my?	file_other						
0		Define indulge	file_other						
0		What is the Mariners game?	file_other						
0		What time is it in Arizona?	file_other						
0		88	file_other						
0		tell me something interesting	file_other						
0		Can you please inform?	file_other						
0		Stop.	file_other						
0		thompson tractor company fort pierce fl	file_other						
0		Minecraft music.	file_other						
0		Search the song.	file_other						
0		facebook log in	file_other						
0		Miraculous	file_other						
0		What's my timer app	file_other						
0		YouTube	file_other						
0		Mariners game.	file_other						
0		Snootiness snootiness snootiness	file_other						
0		Stop that.	file_other						
0		How old is John mcenroe tennis?	file_other						
0		What time is it?	file_other						
0		Next.	file_other						
0		Stop.	file_other						
0		Baha Men	file_other						
0		Time is it.	file_other						
0		showtimes for movies at Regal Meridian 16	file_other						
0		What time is it mountain standard time right now?	file_other						
0		H3 timing mark	file_other						
0		Xampp control panel	file_other						
0		Where is Vancouver	file_other						
0		Chaturbate	file_other						
0		what is the score of the Packers game?	file_other						
0		DMV	file_other						
0		What is SUFFOCATI	file_other						
0		hello world	file_other						
0		160	file_other						
0		Compound arrow	file_other						
0		Stop.	file_other						
0		Hugs.	file_other						
0		Do you know it?	file_other						
0		Cortana what is A medical state in	file_other						
0		She started.	file_other						
0		Shut up	file_other						
0		How many quarts in a liter?	file_other						
0		What are we listening from?	file_other						
0		What is all this giving?	file_other						
0		msn..com	file_other						
0		Download Twitter	file_other						
0		Stop.	file_other						
0		YouTube music	file_other						
0		actor steve cocegen	file_other						
0		What time is it?	file_other						
0		Fortnight game we have trouble.	file_other						
0		What's the score of the Red Sox game?	file_other						
0		gmail inbox	file_other						
0		Ask	file_other						
0		Stop.	file_other						
0		What's up Cortana	file_other						
0		Thank.	file_other						
0		Stop.	file_other						
0		Open tabs.	file_other						
0		Google	file_other						
0		Gmail	file_other						
0		What does subterfuge mean	file_other						
0		Green..com	file_other						
0		Number	file_other						
0		YouTube	file_other						
0		facebook log in	file_other						
0		Can you turn symantha off?	file_other						
0		aol mail login	file_other						
0		Where to buy sex from prostitutes in Detroit	file_other						
0		Who?	file_other						
0		facebook log in	file_other						
0		take me to ebenefits.va.gov	file_other						
0		gmail inbox	file_other						
0		QVC	file_other						
0		ebay official site	file_other						
0		I need it.	file_other						
0		2018 tax brackets	file_other						
0		Nerf mega	file_other						
0		Broad.	file_other						
0		yahoo.com home page	file_other						
0		facebook login page	file_other						
0		showtimes for movies at Regal Meridian 16	file_other						
0		mircosoft word	file_other						
0		Stop.	file_other						
0		Off.	file_other						
0		Stop.	file_other						
0		Number.	file_other						
0		Repeat the last question.	file_other						
0		showtimes for movies at Regal Meridian 16	file_other						
0		Laundry.	file_other						
0		What time is sunset?	file_other						
0		I want I want to michiganlottery.com	file_other						
0		youtube videos	file_other						
0		Stop.	file_other						
0		Tell me a joke.	file_other						
0		What's Katherine Bates in the movie killer be killed	file_other						
0		gmail inbox	file_other						
0		Stop.	file_other						
0		Find me windows movie maker	file_other						
0		When did women get the receive the vote in the United States receive the right to vote	file_other						
0		How do you spell single?	file_other						
0		msn homepage	file_other						
0		Baseball	file_other						
0		Cameron.	file_other						
0		How often should I change the oil on a 2003 Honda Pilot	file_other						
0		fox news breaking news	file_other						
0		What percent of 20 is 1 point	file_other						
0		Who watch is the sleep at night	file_other						
0		gmail login	file_other						
0		What time is it?	file_other						
0		intelsolutions\redemptionststus.com	file_other						
0		aol news sports weather entertainment	file_other						
0		Hello hello hello hello hello hello hello.	file_other						
0		Stop.	file_other						
0		What time is it?	file_other						
0		msn hotmail	file_other						
0		Zulily.com.	file_other						
0		Any football games today	file_other						
0		Change it.	file_other						
0		Who is Jonathan Cain?	file_other						
0		Miley.	file_other						
0		Protecthealthcare.org	file_other						
0		WIP sports radio	file_other						
0		YouTube	file_other						
0		showtimes for movies at Regal Meridian 16	file_other						
0		YouTube	file_other						
0		hello world	file_other						
0		aol mail login	file_other						
0		YouTube please	file_other						
0		Stop.	file_other						
0		google	file_other						
0		0	file_other						
0		What is the airspeed velocity of an unladen swallow?	file_other						
0		What are you doing over there	file_other						
0		Public Storage	file_other						
0		20000/12	file_other						
0		Game time.	file_other						
0		Tell me a joke	file_other						
0		Adobe.com	file_other						
0		BTSL website.	file_other						
0		Bromate	file_other						
0		Who is the sexiest man on earth no one right I'm right yeah	file_other						
0		Hang out	file_other						
0		What is the fun fact of the day?	file_other						
0		Next.	file_other						
0		Stop.	file_other						
0		msn hotmail	file_other						
0		Does she	file_other						
0		Stop.	file_other						
0		tell me a joke	file_other						
0		Will Wheaton from Star Trek	file_other						
0		Rakuen laptop computers	file_other						
0		Search for sublime text	file_other						
0		Neurosurgeons at tradition hospital in in Stuart FL	file_other						
0		Stop.	file_other						
0		Find artist a close.	file_other						
0		craigslist	file_other						
0		Cliff house	file_other						
0		you tube	file_other						
0		What time is it?	file_other						
0		What's up?	file_other						
0		Diagnosis	file_other						
0		need google website	file_other						
0		Baseball scores.	file_other						
0		Xtramath	file_other						
0		Stop.	file_other						
0		YouTube Star Wars	file_other						
0		Off.	file_other						
0		gmail.com inbox	file_other						
0		directv login	file_other						
0		How are you doing today?	file_other						
0		where is the dvd navigation disk in the 2012 toyota sequoia	file_other						
0		the chew.com	file_other						
0		say something funny	file_other						
0		Don't wait.	file_other						
0		Z	file_other						
0		Stop.	file_other						
0		Stop.	file_other						
0		Swish swish swish fish	file_other						
0		Open Gmail	file_other						
0		Stop.	file_other						
0		What time is it?	file_other						
0		What's the time?	file_other						
0		yahoo	file_other						
0		YouTube	file_other						
0		Practitioner.	file_other						
0		You know back in the 90s that was a Mac	file_other						
0		What time is it?	file_other						
0		amazon prime	file_other						
0		Tell me a joke	file_other						
0		What time is it?	file_other						
0		How many junior high homepage	file_other						
0		I love a parade.	file_other						
0		What time is it?	file_other						
0		Advanceauto.com.	file_other						
0		get Cortana on my phoneÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹	file_other						
0		You're a.	file_other						
0		What's the time?	file_other						
0		Talk about me like that	file_other						
0		Tell me about the world	file_other						
0		What time is it?	file_other						
0		Stop.	file_other						
0		Did Marino Sullivan have children?	file_other						
0		Ambulance.	file_other						
0		How old is the earth	file_other						
0		The grind Palm Springs	file_other						
0		Put it in the Philippines.	file_other						
0		Thanks.	file_other						
0		Craigslist Ocala	file_other						
0		Brazzell	file_other						
0		Busselle	file_other						
0		What does he have points in the shower?	file_other						
0		Look at this.	file_other						
0		Open Amazon prime.	file_other						
0		Stop.	file_other						
0		indeed	file_other						
0		show hotkeys	file_other						
0		How old is Rachel macadams?	file_other						
0		Stop.	file_other						
0		facebook log in	file_other						
0		What time is it?	file_other						
0		Hi	file_other						
0		YouTube	file_other						
0		Solitaire	file_other						
0		Z	file_other						
0		get Cortana on my phoneÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹	file_other						
0		Gotta go	file_other						
0		Stop.	file_other						
0		Next.	file_other						
0		The Avenue	file_other						
0		Stop.	file_other						
0		Draw a picture	file_other						
0		showtimes for movies at Regal Meridian 16	file_other						
0		when does summer begin?	file_other						
0		Open the pod Bay doors	file_other						
0		tell me something interesting	file_other						
0		What time is it?	file_other						
0		Get Cortana on my phone	file_other						
0		aol mail	file_other						
0		Cortana tell me about Waco TX	file_other						
0		Out come with a graduation is sinking stadium	file_other						
0		Stop.	file_other						
0		User manual.	file_other						
0		what is up?	file_other						
0		Divide.	file_other						
0		Eat s***	file_other						
0		Stop.	file_other						
0		For five minutes	file_other						
0		Find my TV.	file_other						
0		Did?	file_other						
0		Stop.	file_other						
0		Plus.	file_other						
0		Hey Cortana.	file_other						
0		Hi	file_other						
0		How do you spell lately	file_other						
0		Naturally	file_other						
0		Wait	file_other						
0		facebook login login	file_other						
0		You're a f*****.	file_other						
0		What time is it?	file_other						
0		Which of the following items items would be considered to be a violation of the requirements to not knowingly or recklessly make false or misleading statements about real estate professionals	file_other						
0		Favorites	file_other						
0		Express Scripts	file_other						
0		Up.	file_other						
0		How	file_other						
0		YouTube	file_other						
0		I can get familiar with the way you talk I need your permission to hell	file_other						
0		windows edition	file_other						
0		Stop.	file_other						
0		facebook home page	file_other						
0		Hey Cortana.	file_other						
0		What time is it Cortana?	file_other						
0		Say something funny Hey Cortana say something funny.	file_other						
0		YouTube home.	file_other						
0		Tell us a joke.	file_other						
0		Shut up.	file_other						
0		Cortana tell me a joke	file_other						
0		Derbyderby.xvideo.com	file_other						
0		Stop.	file_other						
0		msn homepage	file_other						
0		What's my name what's my name	file_other						
0		get Cortana on my phoneÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹	file_other						
0		How long does eye dilation affect last?	file_other						
0		nextdoor.com	file_other						
0		So now I see Kia online all sorts of BTC people talking.	file_other						
0		show hotkeys	file_other						
0		So there's a few options on 1st one is dark parts this is only using use for surface devices that services on our brain with this morning he got the whole.	file_other						
0		Everything else.	file_other						
0		Everybody that plays for Michigan football team	file_other						
0		That's it the Phantom zone	file_other						
0		Weather apps	file_other						
0		clever	file_other						
0		Porn	file_other						
0		You should have bumper bowling for her	file_other						
0		We don't.	file_other						
0		I'll see you in the morning for today.	file_other						
0		Candles	file_other						
0		Did the Red Sox win last night?	file_other						
0		Play the way you be out at.	file_other						
0		facebook log in	file_other						
0		Connect	file_other						
0		Sandbox.	file_other						
0		What time is it?	file_other						
0		Turn off.	file_other						
0		Iclick disparus for sale	file_other						
0		Angie	file_other						
0		What time is it?	file_other						
0		How long does meth stay in your system	file_other						
0		Gmail	file_other						
0		Maud Adams nude	file_other						
0		Can you put me some cinÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©polis ticket	file_other						
0		vanguard.com my account sign in	file_other						
0		What's up	file_other						
0		Look up by new we video game system	file_other						
0		What time is it?	file_other						
0		5 nights at candy's simulator	file_other						
0		Next.	file_other						
0		Find Adobe Flash	file_other						
0		Airgun Depot	file_other						
0		How much protein is in one piece of bacon?	file_other						
0		Stop.	file_other						
0		Re.	file_other						
0		get Cortana on my phoneÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹	file_other						
0		Buy Toyota Tacoma limited	file_other						
0		Is the Guardian a good source of information	file_other						
0		Go there.	file_other						
0		say something funny	file_other						
0		converting bullet list to vertical box list smart art	file_other						
0		Microsoft updates.	file_other						
0		Sing a sentence I don't know if it's says something about transferring hear him.	file_other						
0		google	file_other						
0		,	file_other						
0		Quiet.	file_other						
0		What are the winds blowing?	file_other						
0		World poker tour	file_other						
0		Introduce yourself	file_other						
0		Stop.	file_other						
0		chicken.	file_other						
0		facebook log in	file_other						
0		aol mail	file_other						
0		Stop.	file_other						
0		What time does the sunset?	file_other						
0		Stop.	file_other						
0		When does NBA basketball start up again?	file_other						
0		You.	file_other						
0		Browser.	file_other						
0		facebook log in	file_other						
0		Elena video	file_other						
0		system power	file_other						
0		Surprise me.	file_other						
0		What is the value of the MSFT stock?	file_other						
0		What happened today in history?	file_other						
0		Take me to Nick junior.	file_other						
0		Now	file_other						
0		New tab for last	file_other						
0		Intimation art	file_other						
0		The Grand Canyon.	file_other						
0		Oh	file_other						
0		Hello.	file_other						
0		Can you do something fun for me	file_other						
0		Will the first?	file_other						
0		What do cows say	file_other						
0		Gridman Wisconsin	file_other						
0		Z adult joke	file_other						
0		The word there showing possession	file_other						
0		What time is it?	file_other						
0		tell me something interesting	file_other						
0		What time is it?	file_other						
0		10% payment with them so but I'm taking care of friend you know they put my money back except for the $800 and you know they charge me.	file_other						
0		Stop.	file_other						
0		Can you play something by spectral general?	file_other						
0		Aol.com	file_other						
0		the president.	file_other						
0		yahoo mail login	file_other						
0		16*9	file_other						
0		Yes I'd like to know where my HP printer went	file_other						
0		What does the shift button on my remote do	file_other						
0		Multiply 5 and 1/3 * 1 and one fourth.	file_other						
0		United bank	file_other						
0		How many pounds does it take to make a gallon	file_other						
0		Food.	file_other						
0		Tell us a joke.	file_other						
0		Map of Japan.	file_other						
0		Me you man I'm looking for.	file_other						
0		Costco	file_other						
0		Is gonna shout?	file_other						
0		Spell apologize	file_other						
0		Gary.	file_other						
0		explore okoboji.com	file_other						
0		What does the markets do yesterday?	file_other						
0		Who sings lady in red?	file_other						
0		Show me a	file_other						
0		distance between reading to new holland, pennsylvania	file_other						
0		Stages links	file_other						
0		What's playing at the ultra star hazard center	file_other						
0		tell me something interesting	file_other						
0		aol mail	file_other						
0		say something funny	file_other						
0		Programs and features	file_other						
0		Wells Fargo online	file_other						
0		Burger King.	file_other						
0		What is 85% of 3235	file_other						
0		YouTube	file_other						
0		lenovo system interface driver	file_other						
0		Stop.	file_other						
0		Inside it	file_other						
0		Rapunzel.	file_other						
0		Did the Cleveland Cavaliers play today?	file_other						
0		Tell me a joke.	file_other						
0		Good morning.	file_other						
0		What time is it?	file_other						
0		Start	file_other						
0		Call nuts for candy.	file_other						
0		Hey	file_other						
0		Full image Carson Facebook	file_other						
0		facebook log in	file_other						
0		Open the website	file_other						
0		Rushlimbaugh.com.	file_other						
0		What's the time?	file_other						
0		Wanna different time	file_other						
0		3037 WESTMINSTER AVE, NORFOLK, ZILLOW	file_other						
0		Do you know who Siri is?	file_other						
0		How strong is my signal strength	file_other						
0		What can you do	file_other						
0		Stop.	file_other						
0		What time is it?	file_other						
0		Happy birthday bro don't get this car starters.	file_other						
0		yahoo mail login	file_other						
0		Go back to this.	file_other						
0		mapquest	file_other						
0		What time is it?	file_other						
0		Bluetoothboatcaspase.com	file_other						
0		7	file_other						
0		Stop.	file_other						
0		On this computer	file_other						
0		Why is Josh such a P****	file_other						
0		Stop.	file_other						
0		There is no	file_other						
0		tell me something interesting	file_other						
0		Tell me a joke	file_other						
0		Att.net	file_other						
0		Disney Africa site	file_other						
0		Gender.	file_other						
0		Your name what's your name	file_other						
0		Brfile_others	file_other						
0		say something funny	file_other						
0		Widow's benefits for Medicare	file_other						
0		Solar.	file_other						
0		Make	file_other						
0		Wandering root beer.	file_other						
0		Netflix	file_other						
0		Play the woggles yohoun Ramona Peres des jeunes de Los 20 fingers Gillette.	file_other						
0		What time is it?	file_other						
0		Turbo.	file_other						
0		Why should I?	file_other						
0		I'm having my belt on my do they need to fix that	file_other						
0		What version of windows is this computer	file_other						
0		when does winter end?	file_other						
0		Snooze.	file_other						
0		Sofia	file_other						
0		Search for dogs.	file_other						
0		Stop.	file_other						
0		Before you draw	file_other						
0		What is he trying to hide	file_other						
0		gmail sign in	file_other						
0		how to make screen bigger	file_other						
0		That	file_other						
0		Shower	file_other						
0		What's going on?	file_other						
0		Cast of the movie hoodwink	file_other						
0		Next.	file_other						
0		Like my advice about my strength is the fact that we share but then he looked everywhere else except this old man.	file_other						
0		What time is it?	file_other						
0		Show me a picture of carnotite nice	file_other						
0		Why are you being so mean	file_other						
0		when does fall begin?	file_other						
0		Spotify go to song radio.	file_other						
0		What does it mean summarize a passage	file_other						
0		Keep coming back.	file_other						
0		say something funny	file_other						
0		Convention.	file_other						
0		Baseball scores.	file_other						
0		Working on basic chords for the first 4 weeks.	file_other						
0		How is Master Chief?	file_other						
0		Schuco River hydronics	file_other						
0		Play it you said it's not even like it was this point don't do that you did it don't do that and then you get it don't do that and then.	file_other						
0		Stop.	file_other						
0		Lost.	file_other						
0		Then why.	file_other						
0		What does SLEWED mean?	file_other						
0		Stop.	file_other						
0		Open about dollar	file_other						
0		Facebook login	file_other						
0		Stop.	file_other						
0		What is 20 kilometers in miles?	file_other						
0		Download flash player	file_other						
0		Is up now I want you to stay just like this go to Facebook	file_other						
0		You.	file_other						
0		Google	file_other						
0		aol mail	file_other						
0		Thanks	file_other						
0		hi cortana.	file_other						
0		Google	file_other						
0		Hello how are you	file_other						
0		 my watchlist   	file_other						
0		What's the	file_other						
0		Let it go at the whole wanna hold never let it go	file_other						
0		Ohio lottery	file_other						
0		Stop.	file_other						
0		How much does a blade blade stadium cost	file_other						
0		Haircut.	file_other						
0		google	file_other						
0		Is katie's house?	file_other						
0		Mail in votes for Florida	file_other						
0		Boat for Anthony Weiner until he became more Anthony Weiner the first game.	file_other						
0		google	file_other						
0		When is Sarah?	file_other						
0		No rush.	file_other						
0		What's 1971 - 1946?	file_other						
0		Surprise me	file_other						
0		Videos of Mount kiloware eruption	file_other						
0		Where is the pen?	file_other						
0		Embrace him.	file_other						
0		Klove.com.	file_other						
0		Search for the download address for the most recent Cody	file_other						
0		What's the time right now?	file_other						
0		what movies are playing tonight?	file_other						
0		What can you do	file_other						
0		Alexa is better than you	file_other						
0		youtube music	file_other						
0		Stop.	file_other						
0		what movies are playing tonight?	file_other						
0		Install	file_other						
0		Do you speak German?	file_other						
0		Add 2011 who is the creator of Minecraft	file_other						
0		Heartland America	file_other						
0		What was the first television series to show a married couple sleeping in the same bed?	file_other						
0		How are you today?	file_other						
0		Tell me a joke.	file_other						
0		How do you say macaroon?	file_other						
0		Find me about the best place to warding.	file_other						
0		I'm never not work that day.	file_other						
0		Stop.	file_other						
0		Perspective	file_other						
0		What's the best filter for black and white photos	file_other						
0		msn homepage	file_other						
0		where is berlin on this map	file_other						
0		What's up	file_other						
0		facebook home page	file_other						
0		Netflix	file_other						
0		aol mail login	file_other						
0		Tell me about sex.	file_other						
0		Solitaire arena	file_other						
0		What the hell are you doing	file_other						
0		Ask.	file_other						
0		Ryan toy review	file_other						
0		Tell me 5 facts on the bald eagle	file_other						
0		Stop.	file_other						
0		Looking at work it's me it's me and U verse montien Lucas gay	file_other						
0		Alien citation	file_other						
0		I need umbrella.	file_other						
0		Stop.	file_other						
0		Top spiritual researcher needed	file_other						
0		Are you there?	file_other						
0		What's the score of the Yankee game?	file_other						
0		Oh my God.	file_other						
0		say something funny	file_other						
0		Saint Louis post dispatch sports	file_other						
0		Vacuum sealed in there.	file_other						
0		What's 49	file_other						
0		What time is it?	file_other						
0		How do you want to date you so much	file_other						
0		facebook log in	file_other						
0		Facebook login	file_other						
0		Add.	file_other						
0		Open	file_other						
0		Shuffle all about proper lighting and like help.	file_other						
0		facebook log in	file_other						
0		When I turn on the TV?	file_other						
0		What time is it?	file_other						
0		Stop.	file_other						
0		showtimes for movies at Regal Meridian 16	file_other						
0		Repeal at bottom in crankcase in on my CV LED under health	file_other						
0		Stop.	file_other						
0		gmail login	file_other						
0		Need help setting up a Fitbit	file_other						
0		Boost Mobile phones	file_other						
0		tell me something interesting	file_other						
0		Disconnect.	file_other						
0		facebook log in	file_other						
0		1521 big deal.	file_other						
0		I will write to the late power nap	file_other						
