ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	CortanaResponse
177873344	0		user	Trip notes overview	FILES	file_search	<file_keyword> trip </file_keyword> <file_type> notes </file_type> overview	[]		1	
177873345	0		user	investment excel documents	FILES	file_search	<file_keyword> investment </file_keyword> <file_type> excel </file_type> documents	[]		1	
177873346	0		user	cortana test powerpoints	FILES	file_search	<file_keyword> cortana test </file_keyword> <file_type> powerpoints </file_type>	[]		1	
177873347	0		user	pic16f690 datasheet	FILES	file_search	<file_keyword> pic16f690 </file_keyword> <file_type> datasheet </file_type>	[]		1	
177873348	0		user	culture shock ppt	FILES	file_search	<file_keyword> culture shock </file_keyword> <file_type> ppt </file_type>	[]		1	
177873349	0		user	account photos	FILES	file_search	<file_keyword> account </file_keyword> <file_type> photos </file_type>	[]		1	
177873350	0		user	break even analysis spreadsheet	FILES	file_search	<file_keyword> break even analysis </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873351	0		user	car note	FILES	file_search	<file_keyword> car </file_keyword> <file_type> note </file_type>	[]		1	
177873352	0		user	reddhub xbf file	FILES	file_search	<file_keyword> reddhub </file_keyword> <file_type> xbf </file_type> file	[]		1	
177873353	0		user	computer graphics ppt	FILES	file_search	<file_keyword> computer graphics </file_keyword> <file_type> ppt </file_type>	[]		1	
177873354	0		user	ece notes	FILES	file_search	<file_keyword> ece </file_keyword> <file_type> notes </file_type>	[]		1	
177873355	0		user	booty gif	FILES	file_search	<file_keyword> booty </file_keyword> <file_type> gif </file_type>	[]		1	
177873356	0		user	graduation photos	FILES	file_search	<file_keyword> graduation </file_keyword> <file_type> photos </file_type>	[]		1	
177873357	0		user	microsoft word on my computer	FILES	file_search	<file_keyword> microsoft </file_keyword> <file_type> word </file_type>  on <contact_name> my </contact_name> <data_source> computer </data_source>	[]		1	
177873358	0		user	canon pixma powerpoint by grushetski	FILES	file_search	<file_keyword> canon pixma </file_keyword> <file_type> powerpoint </file_type> by <contact_name> grushetski </contact_name>	[]		1	
177873359	0		user	mary Doc	FILES	file_search	<file_keyword> mary </file_keyword> <file_type> Doc </file_type>	[]		1	
177873360	0		user	investment excel docum	FILES	file_search	<file_keyword> investment </file_keyword> <file_type> excel </file_type> docum	[]		1	
177873361	0		user	once note	FILES	file_search	<file_keyword> once </file_keyword> <file_type> note </file_type>	[]		1	
177873362	0		user	Terraria excel.	FILES	file_search	<file_keyword> terraria </file_keyword> <file_type> excel </file_type> .	[]		1	
177873363	0		user	dutch note	FILES	file_search	<file_keyword> dutch </file_keyword> <file_type> note </file_type>	[]		1	
177873364	0		user	Unique name ppt	FILES	file_search	<file_keyword>Unique name</file_keyword> <file_type>ppt</file_type>	[]		1	
177873365	0		user	date nights PDF by abaulin tuiz	FILES	file_search	<file_keyword> date nights </file_keyword> <file_type> PDF </file_type> by <contact_name> abaulin tuiz </contact_name>	[]		1	
177873366	0		user	i want to wish my mom a happy mother's day spreadsheets by deguerin deinhardt	FILES	file_search	<file_keyword> i want to wish my mom a happy mother's day </file_keyword> <file_type> spreadsheets </file_type> by <contact_name> deguerin deinhardt </contact_name>	[]		1	
177873367	0		user	work administration onenote	FILES	file_search	<file_keyword> work administration </file_keyword> <file_type> onenote </file_type>	[]		1	
177873368	0		user	4 2 5 defense powerpoint	FILES	file_search	<file_keyword> 4 2 5 defense </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873369	0		user	editorial analysis worksheet	FILES	file_search	<file_keyword> editorial analysis </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873370	0		user	dad ' s cat presentation by brès chandisingh bloemecke ardren	FILES	file_search	<file_keyword> dad ' s cat </file_keyword> <file_type> presentation </file_type> by <contact_name> brès chandisingh bloemecke ardren </contact_name>	[]		1	
177873371	0		user	involvement fair tsv by goyco torey	FILES	file_search	<file_keyword> involvement fair </file_keyword> <file_type> tsv </file_type> by <contact_name> goyco torey </contact_name>	[]		1	
177873372	0		user	monthly budget worksheet	FILES	file_search	<file_keyword> monthly budget </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873373	0		user	car note	FILES	file_search	<file_keyword> car </file_keyword> <file_type> note </file_type>	[]		1	
177873374	0		user	Gatlinburg trip photos	FILES	file_search	<file_keyword> Gatlinburg trip </file_keyword> <file_type> photos </file_type>	[]		1	
177873375	0		user	investment excel do	FILES	file_search	<file_keyword> investment </file_keyword> <file_type> excel </file_type> do	[]		1	
177873376	0		user	Family Pics	FILES	file_search	<file_keyword> Family </file_keyword> <file_type> Pics </file_type>	[]		1	
177873377	0		user	limiting reagent worksheet	FILES	file_search	<file_keyword> limiting reagent </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873378	0		user	QAS Msw April xls 	FILES	file_search	<file_keyword>QAS Msw April</file_keyword> <file_type>xls</file_type>	[]		1	
177873379	0		user	free movies on my computer	FILES	file_search	<file_keyword> free </file_keyword> <file_type> movies </file_type> on <contact_name> my </contact_name> <data_source> computer </data_source>	[]		1	
177873380	0		user	car companies spreadsheet	FILES	file_search	<file_keyword> car companies </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873381	0		user	cortana jpg	FILES	file_search	<file_keyword> cortana </file_keyword> <file_type> jpg </file_type>	[]		1	
177873382	0		user	task note, last one, find it	FILES	file_search	<file_keyword> task </file_keyword> <file_type> note </file_type> , <order_ref> last </order_ref> one , find it	[]		1	
177873383	0		user	transparent slide	FILES	file_search	<file_keyword> transparent </file_keyword> <file_type> slide </file_type>	[]		1	
177873384	0		user	computer graphics ppt	FILES	file_search	<file_keyword> computer graphics </file_keyword> <file_type> ppt </file_type>	[]		1	
177873385	0		user	Party notes.	FILES	file_search	<file_keyword> party </file_keyword> <file_type> notes </file_type> .	[]		1	
177873386	0		user	stargirl spark notes	FILES	file_search	<file_keyword> stargirl spark </file_keyword> <file_type> notes </file_type>	[]		1	
177873387	0		user	naked pictures of mine	FILES	file_search	<file_keyword> naked </file_keyword> <file_type> pictures </file_type> of mine	[]		1	
177873388	0		user	presentaciones power point	FILES	file_search	<file_keyword> presentaciones </file_keyword> <file_type> power point </file_type>	[]		1	
177873389	0		user	KL5 slides, plese	FILES	file_search	<file_keyword> KL5 </file_keyword> <file_type> slides </file_type> , plese	[]		1	
177873390	0		user	biting sheila mpt by chebaturkin hormusji kakioki	FILES	file_search	<file_keyword> biting sheila </file_keyword> <file_type> mpt </file_type> by <contact_name> chebaturkin hormusji kakioki </contact_name>	[]		1	
177873391	0		user	*docs	FILES	file_search	<file_keyword> * </file_keyword> <file_type> docs </file_type>	[]		1	
177873392	0		user	itemized deduction worksheet	FILES	file_search	<file_keyword> itemized deduction </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873393	0		user	reports mac two thousand fifteen quicken	FILES	file_search	<file_keyword> reports mac two thousand fifteen </file_keyword> <file_type> quicken </file_type>	[]		1	
177873394	0		user	Personal notes	FILES	file_search	<file_keyword> personal </file_keyword> <file_type> notes </file_type>	[]		1	
177873395	0		user	biliary obstruction ppt	FILES	file_search	<file_keyword> biliary obstruction </file_keyword> <file_type> ppt </file_type>	[]		1	
177873396	0		user	therapy notes	FILES	file_search	<file_keyword> therapy </file_keyword> <file_type> notes </file_type>	[]		1	
177873397	0		user	college budget worksheet	FILES	file_search	<file_keyword> college budget </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873398	0		user	outback slides	FILES	file_search	<file_keyword> outback </file_keyword> <file_type> slides </file_type>	[]		1	
177873399	0		user	wedding docume	FILES	file_search	<file_keyword> wedding </file_keyword> <file_type> docume </file_type>	[]		1	
177873400	0		user	train ticket booking powerpoint by chebaturkin luc-antoine dzerzhgovsky	FILES	file_search	<file_keyword> train ticket booking </file_keyword> <file_type> powerpoint </file_type> by <contact_name> chebaturkin luc-antoine dzerzhgovsky </contact_name>	[]		1	
177873401	0		user	4 2 5 defense powerpoint	FILES	file_search	<file_keyword> 4 2 5 defense </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873402	0		user	tech notes	FILES	file_search	<file_keyword> tech </file_keyword> <file_type> notes </file_type>	[]		1	
177873403	0		user	joy tukey pdf files	FILES	file_search	<file_keyword> joy tukey </file_keyword> <file_type> pdf </file_type> files	[]		1	
177873404	0		user	mortgage payment spreadshet	FILES	file_search	<file_keyword> mortgage payment </file_keyword> <file_type> spreadshet </file_type>	[]		1	
177873405	0		user	therapy notes	FILES	file_search	<file_keyword> therapy </file_keyword> <file_type> notes </file_type>	[]		1	
177873406	0		user	brian and selection procedures pdf	FILES	file_search	<file_keyword> brian and selection procedures </file_keyword> <file_type> pdf </file_type>	[]		1	
177873407	0		user	break even analysis spreadsheet	FILES	file_search	<file_keyword> break even analysis </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873408	0		user	appointment with the er pdf by diplan	FILES	file_search	<file_keyword> appointment with the er </file_keyword> <file_type> pdf </file_type> by <contact_name> diplan </contact_name>	[]		1	
177873409	0		user	6th grade pool party photos on smugmug	FILES	file_search	<file_keyword> 6th grade pool party </file_keyword> <file_type> photos </file_type> on <data_source> smugmug </data_source>	[]		1	
177873410	0		user	m1 note	FILES	file_search	<file_keyword> m1 </file_keyword> <file_type> note </file_type>	[]		1	
177873411	0		user	transparent slide	FILES	file_search	<file_keyword> transparent </file_keyword> <file_type> slide </file_type>	[]		1	
177873412	0		user	Shiproom deck for Malik	FILES	file_search	<file_keyword>Shiproom</file_keyword> <file_type>deck</file_type> for <contact_name>Malik</contact_name>	[]		1	
177873413	0		user	workplace violence powerpoint presentations	FILES	file_search	<file_keyword> workplace violence </file_keyword> <file_type> powerpoint presentations </file_type>	[]		1	
177873414	0		user	management onenote	FILES	file_search	<file_keyword> management </file_keyword> <file_type> onenote </file_type>	[]		1	
177873415	0		user	*docs	FILES	file_search	<file_keyword> * </file_keyword> <file_type> docs </file_type>	[]		1	
177873416	0		user	class reunion decks	FILES	file_search	<file_keyword> class reunion </file_keyword> <file_type> decks </file_type>	[]		1	
177873417	0		user	canon rar file	FILES	file_search	<file_keyword> canon </file_keyword> <file_type> rar </file_type> file	[]		1	
177873418	0		user	work administration onenote	FILES	file_search	<file_keyword> work administration </file_keyword> <file_type> onenote </file_type>	[]		1	
177873419	0		user	pov nude pictures	FILES	file_search	<file_keyword> pov nude </file_keyword> <file_type> pictures </file_type>	[]		1	
177873420	0		user	free movies on my computer	FILES	file_search	<file_keyword> free </file_keyword> <file_type> movies </file_type> on <contact_name> my </contact_name> <data_source> computer </data_source>	[]		1	
177873421	0		user	window powerpoint	FILES	file_search	<file_keyword> window </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873422	0		user	amazon prime photos	FILES	file_search	<file_keyword> amazon prime </file_keyword> <file_type> photos </file_type>	[]		1	
177873423	0		user	brochure onenote	FILES	file_search	<file_keyword> brochure </file_keyword> <file_type> onenote </file_type>	[]		1	
177873424	0		user	vacation slides	FILES	file_search	<file_keyword> vacation </file_keyword> <file_type> slides </file_type>	[]		1	
177873425	0		user	catfish notebook	FILES	file_search	<file_keyword> catfish </file_keyword> <file_type> notebook </file_type>	[]		1	
177873426	0		user	sportsdevil zip file	FILES	file_search	<file_keyword> sportsdevil </file_keyword> <file_type> zip </file_type> file	[]		1	
177873427	0		user	mum birthday card and gift slide	FILES	file_search	<file_keyword> mum birthday card and gift </file_keyword> <file_type> slide </file_type>	[]		1	
177873428	0		user	s note	FILES	file_search	<file_keyword> s </file_keyword> <file_type> note </file_type>	[]		1	
177873429	0		user	dinner with my parents doc by schoonheydt diplan	FILES	file_search	<file_keyword> dinner with my parents </file_keyword> <file_type> doc </file_type> by <contact_name> schoonheydt diplan </contact_name>	[]		1	
177873430	0		user	coworker slideshow	FILES	file_search	<file_keyword> coworker </file_keyword> <file_type> slideshow </file_type>	[]		1	
177873431	0		user	Retirement notes-please find.	FILES	file_search	<file_keyword> retirement </file_keyword> <file_type> notes </file_type> - please find .	[]		1	
177873432	0		user	people to slap csv	FILES	file_search	<file_keyword> people to slap </file_keyword> <file_type> csv </file_type>	[]		1	
177873433	0		user	resume ppt presentation	FILES	file_search	<file_keyword> resume </file_keyword> <file_type> ppt presentation </file_type>	[]		1	
177873434	0		user	wise documen	FILES	file_search	<file_keyword> wise </file_keyword> <file_type> documen </file_type>	[]		1	
177873435	0		user	accounting excel workbook	FILES	file_search	<file_keyword> accounting </file_keyword> <file_type> excel workbook </file_type>	[]		1	
177873436	0		user	itemized deduction worksheet	FILES	file_search	<file_keyword> itemized deduction </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873437	0		user	first subject excel	FILES	file_search	<file_keyword> first subject </file_keyword> <file_type> excel </file_type>	[]		1	
177873438	0		user	get tree docs by eeckhout tulin	FILES	file_search	<file_keyword> get tree </file_keyword> <file_type> docs </file_type> by <contact_name> eeckhout tulin </contact_name>	[]		1	
177873439	0		user	sportsdevil zip file	FILES	file_search	<file_keyword> sportsdevil </file_keyword> <file_type> zip </file_type> file	[]		1	
177873440	0		user	audit demo msg by forka tsuchihiro milgauzen tomooki	FILES	file_search	<file_keyword> audit demo </file_keyword> <file_type> msg </file_type> by <contact_name> forka tsuchihiro milgauzen tomooki </contact_name>	[]		1	
177873441	0		user	naked pictures of mine	FILES	file_search	<file_keyword> naked </file_keyword> <file_type> pictures </file_type> of mine	[]		1	
177873442	0		user	pegleg docu	FILES	file_search	<file_keyword> pegleg </file_keyword> <file_type> docu </file_type>	[]		1	
177873443	0		user	thirty three windshield notes that completely	FILES	file_search	<file_keyword> thirty three windshield </file_keyword> <file_type> notes </file_type> that completely	[]		1	
177873444	0		user	expenses spreadsheet	FILES	file_search	<file_keyword> expenses </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873445	0		user	Johnson presentation view	FILES	file_search	<file_keyword> Johnson </file_keyword> <file_type> presentation </file_type> view	[]		1	
177873446	0		user	grandpa ' s note	FILES	file_search	<file_keyword> grandpa ' s </file_keyword> <file_type> note </file_type>	[]		1	
177873447	0		user	far side photos 10/12/12 edit	FILES	file_search	<file_keyword> far side </file_keyword> <file_type> photos </file_type> <date> 10/12/12 </date> edit	[]		1	
177873448	0		user	mes docume	FILES	file_search	<file_keyword> mes </file_keyword> <file_type> docume </file_type>	[]		1	
177873449	0		user	xl spreadsheet	FILES	file_search	<file_keyword> xl </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873450	0		user	cc txt	FILES	file_search	<file_keyword> cc </file_keyword> <file_type> txt </file_type>	[]		1	
177873451	0		user	Diana and spring accounting sheet	FILES	file_search	<file_keyword> Diana </file_keyword> and <file_keyword> spring accounting </file_keyword> <file_type> sheet </file_type>	[]		1	
177873452	0		user	Trip notes please	FILES	file_search	<file_keyword> trip </file_keyword> <file_type> notes </file_type> please	[]		1	
177873453	0		user	fitbit and log exersize notes	FILES	file_search	<file_keyword> fitbit and log exersize </file_keyword> <file_type> notes </file_type>	[]		1	
177873454	0		user	party cake docs by çabej	FILES	file_search	<file_keyword> party cake </file_keyword> <file_type> docs </file_type> by <contact_name> çabej </contact_name>	[]		1	
177873455	0		user	procedures onenote	FILES	file_search	<file_keyword> procedures </file_keyword> <file_type> onenote </file_type>	[]		1	
177873456	0		user	lockout tagout powerpoint	FILES	file_search	<file_keyword> lockout tagout </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873457	0		user	azure overview ppt	FILES	file_search	<file_keyword> azure overview </file_keyword> <file_type> ppt </file_type>	[]		1	
177873458	0		user	return car onenote	FILES	file_search	<file_keyword> return car </file_keyword> <file_type> onenote </file_type>	[]		1	
177873459	0		user	themes powerpoint	FILES	file_search	<file_keyword> themes </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873460	0		user	five six fv docs by boci	FILES	file_search	<file_keyword> five six fv </file_keyword> <file_type> docs </file_type> by <contact_name> boci </contact_name>	[]		1	
177873461	0		user	fitbit and log exersize notes	FILES	file_search	<file_keyword> fitbit and log exersize </file_keyword> <file_type> notes </file_type>	[]		1	
177873462	0		user	prompt restaurant notes	FILES	file_search	<file_keyword> prompt restaurant </file_keyword> <file_type> notes </file_type>	[]		1	
177873463	0		user	virtualization basics powerpoint	FILES	file_search	<file_keyword> virtualization basics </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873464	0		user	feature presentation	FILES	file_search	<file_keyword> feature </file_keyword> <file_type> presentation </file_type>	[]		1	
177873465	0		user	microsoft pdf files on this computer	FILES	file_search	<file_keyword> microsoft </file_keyword> <file_type> pdf </file_type> files on this <data_source> computer </data_source>	[]		1	
177873466	0		user	calendar notes	FILES	file_search	<file_keyword> calendar </file_keyword> <file_type> notes </file_type>	[]		1	
177873467	0		user	voice note	FILES	file_search	<file_keyword> voice </file_keyword> <file_type> note </file_type>	[]		1	
177873468	0		user	phrase worksheet	FILES	file_search	<file_keyword> phrase </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873469	0		user	editorial analysis worksheet	FILES	file_search	<file_keyword> editorial analysis </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873470	0		user	ass wiping image by stewart-green	FILES	file_search	<file_keyword> ass wiping </file_keyword> <file_type> image </file_type> by <contact_name> stewart-green </contact_name>	[]		1	
177873471	0		user	modern music shops excel document	FILES	file_search	<file_keyword> modern music shops </file_keyword> <file_type> excel </file_type> document	[]		1	
177873472	0		user	Husky slide show	FILES	file_search	<file_keyword> Husky </file_keyword> <file_type> slide show </file_type>	[]		1	
177873473	0		user	birthday notes	FILES	file_search	<file_keyword> birthday </file_keyword> <file_type> notes </file_type>	[]		1	
177873474	0		user	poetry slideshow	FILES	file_search	<file_keyword> poetry </file_keyword> <file_type> slideshow </file_type>	[]		1	
177873475	0		user	grooming appointment powerpoints	FILES	file_search	<file_keyword> grooming appointment </file_keyword> <file_type> powerpoints </file_type>	[]		1	
177873476	0		user	Meeting notes review	FILES	file_search	<file_keyword> meeting </file_keyword> <file_type> notes </file_type> review	[]		1	
177873477	0		user	cam reconciliation spreadsheet	FILES	file_search	<file_keyword> cam reconciliation </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873478	0		user	jordan slides	FILES	file_search	<file_keyword> jordan </file_keyword> <file_type> slides </file_type>	[]		1	
177873479	0		user	meeting notes list all	FILES	file_search	<file_keyword> meeting </file_keyword> <file_type> notes </file_type> list all	[]		1	
177873480	0		user	wise documen	FILES	file_search	<file_keyword> wise </file_keyword> <file_type> documen </file_type>	[]		1	
177873481	0		user	launch date xls	FILES	file_search	<file_keyword> launch date </file_keyword> <file_type> xls </file_type>	[]		1	
177873482	0		user	poetry slideshow	FILES	file_search	<file_keyword> poetry </file_keyword> <file_type> slideshow </file_type>	[]		1	
177873483	0		user	family vacation photos	FILES	file_search	<file_keyword> family vacation </file_keyword> <file_type> photos </file_type>	[]		1	
177873484	0		user	fafsa promissory note	FILES	file_search	<file_keyword> fafsa promissory </file_keyword> <file_type> note </file_type>	[]		1	
177873485	0		user	pick up his dog powerpoint by rapagao	FILES	file_search	<file_keyword> pick up his dog </file_keyword> <file_type> powerpoint </file_type> by <contact_name> rapagao </contact_name>	[]		1	
177873486	0		user	Birthday party slides	FILES	file_search	<file_keyword> Birthday party </file_keyword> <file_type> slides </file_type>	[]		1	
177873487	0		user	s note	FILES	file_search	<file_keyword> s </file_keyword> <file_type> note </file_type>	[]		1	
177873488	0		user	spartan notes	FILES	file_search	<file_keyword> spartan </file_keyword> <file_type> notes </file_type>	[]		1	
177873489	0		user	dentist appointment for my daughter spreadsheet	FILES	file_search	<file_keyword> dentist appointment for my daughter </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873490	0		user	cornell notes	FILES	file_search	<file_keyword> cornell </file_keyword> <file_type> notes </file_type>	[]		1	
177873491	0		user	6th grade pool party photos on smugmug	FILES	file_search	<file_keyword> 6th grade pool party </file_keyword> <file_type> photos </file_type> on <data_source> smugmug </data_source>	[]		1	
177873492	0		user	dr notes here	FILES	file_search	<file_keyword> dr </file_keyword> <file_type> notes </file_type> here	[]		1	
177873493	0		user	grocery notes	FILES	file_search	<file_keyword> grocery </file_keyword> <file_type> notes </file_type>	[]		1	
177873494	0		user	reports mac two thousand fifteen quicken	FILES	file_search	<file_keyword> reports mac two thousand fifteen </file_keyword> <file_type> quicken </file_type>	[]		1	
177873495	0		user	theme powerpoint	FILES	file_search	<file_keyword> theme </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873496	0		user	calendar notes	FILES	file_search	<file_keyword> calendar </file_keyword> <file_type> notes </file_type>	[]		1	
177873497	0		user	mes docume	FILES	file_search	<file_keyword> mes </file_keyword> <file_type> docume </file_type>	[]		1	
177873498	0		user	algebra notes i saved after september 9th	FILES	file_search	<file_keyword> algebra </file_keyword> <file_type> notes </file_type> <contact_name> i </contact_name> <file_action> saved </file_action> after <date> september 9th </date>	[]		1	
