ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency
Teams05fd3fe0-87b4-4c31-85ca-abfbf4bf0c15	0	9/20/2019 8:28	user	Returned.	NOTSURE	notsure_not_judged	returned	[]				2
Teams6593f9b4-81cd-4412-a0ed-9ebeff77ef6a	0	9/17/2019 4:35	user	Tomorrow.	NOTSURE	notsure_not_judged	tomorrow	[]				1
Teamsd8e8a933-8e61-4d8b-b654-11d643909a4d	0	9/30/2019 8:04	user	What's the weather?	NOTSURE	notsure_not_judged	what's the weather	[]				29
Teams679802bf-849a-44d9-8f52-f26c21e8b06b	0	9/4/2019 8:05	user	Go to settings.	NOTSURE	notsure_not_judged	go to settings	[]				31
Teamsb300d9cf-bba0-4e37-96ed-dab6084c0d89	0	9/30/2019 7:07	user	Hey Cortana, what's the weather?	NOTSURE	notsure_not_judged	hey cortana, what's the weather	[]				5
Teamsb2637833-1c58-4e57-b66b-f3b04e914cf9	0	9/9/2019 10:31	user	Hey Cortana, join first one.	NOTSURE	notsure_not_judged	hey cortana, join first one	[]				1
Teams874bd1a9-e323-48db-980f-434bf4200506	0	9/11/2019 10:35	user	Hey Cortana, so you can see that Cortana is not announcing the.	NOTSURE	notsure_not_judged	hey cortana, so you can see that cortana is not announcing the	[]				1
Teams22f122d4-5ec5-4b14-a700-8a5480e0eff3	0	9/20/2019 1:07	user	Weather in Seattle.	NOTSURE	notsure_not_judged	weather in seattle	[]				1
Teams3a884c8f-ee1b-46aa-bbf2-0456bbb8d0a9	0	9/12/2019 18:41	user	And this.	NOTSURE	notsure_not_judged	and this	[]				1
Teamsc3876f02-aceb-4e5a-8f8e-e91b4a66ea48	0	9/6/2019 18:37	user	Hey Cortana, what is the temperature in Ocean City, MD?	NOTSURE	notsure_not_judged	hey cortana, what is the temperature in ocean city, md	[]				6
Teams3592dee9-e61f-4ce6-af73-f771a300cef8	0	9/4/2019 1:58	user	Open AFL.	NOTSURE	notsure_not_judged	open afl	[]				6
Teams3cc5e0a8-efea-4c07-8b35-2cc584d6fe3f	0	9/28/2019 11:39	user	Cortana the Jahanshah. Happy Asf which are a monkey heading.	NOTSURE	notsure_not_judged	cortana the jahanshah. happy asf which are a monkey heading	[]				1
Teamsf89ad173-2a96-4698-a73c-f925cef639ad	0	9/27/2019 2:39	user	Hey Cortana. Hello.	NOTSURE	notsure_not_judged	hey cortana. hello	[]				17
Teams2e2eae54-5cd0-49f7-925d-4ed2c5cb436e	0	9/13/2019 23:45	user	Set a reminder.	NOTSURE	notsure_not_judged	set a reminder	[]				2
Teamsad6d81eb-3f29-4837-be82-42ddbd98c69b	0	9/16/2019 13:53	user	Catch up.	NOTSURE	notsure_not_judged	catch up	[]				10
Teams4fca939d-4e47-46d5-b1e0-bcb0817299b9	0	9/5/2019 17:07	user	Check my email.	NOTSURE	notsure_not_judged	check my email	[]				3
Teamsb77e6af8-44e8-45d0-a44b-59e788fded2f	0	9/3/2019 5:40	user	Cancel.	NOTSURE	notsure_not_judged	cancel	[]				16
Teamsa878400f-5331-4b94-b4c9-1ff447fbc204	0	9/9/2019 16:43	user	When?	NOTSURE	notsure_not_judged	when	[]				1
Teamse4cf6c29-77d8-4169-9713-128127b16762	0	9/27/2019 22:08	user	Do I have any new emails?	NOTSURE	notsure_not_judged	do i have any new emails	[]				1
Teams7869ec2d-0753-469f-8a48-a1a77ff6c5d5	0	9/6/2019 18:30	user	Hey Cortana me a joke.	NOTSURE	notsure_not_judged	hey cortana me a joke	[]				13
Teams6ec646bb-7b7b-49d8-9379-a3515363a517	0	9/12/2019 6:50	user	Hey Cortana Carlos.	NOTSURE	notsure_not_judged	hey cortana carlos	[]				1
Teamsd174a74e-c192-4803-98a8-a7a1153a166b	0	9/16/2019 7:23	user	Hey Cortana. Add more available today.	NOTSURE	notsure_not_judged	hey cortana. add more available today	[]				1
Teams84c50544-db9d-429e-a809-fb2f6130bd42	0	9/9/2019 6:42	user	Hey Cortana, try.	NOTSURE	notsure_not_judged	hey cortana, try	[]				1
Teams0f9adfbe-47b2-4efb-93f9-5b748b08130d	0	9/17/2019 17:27	user	I had a question.	NOTSURE	notsure_not_judged	i had a question	[]				1
Teamsaf91a1ae-7088-4822-ae8a-0fc4ff703d78	0	9/17/2019 2:35	user	Who is your?	NOTSURE	notsure_not_judged	who is your	[]				1
Teams6afe975e-240b-4954-86cc-e6ccc9deaf5d	0	9/3/2019 21:37	user	Hey Cortana, can you split screen Halo 5?	NOTSURE	notsure_not_judged	hey cortana, can you split screen halo 5	[]				1
Teams89ea1573-b3fb-4b63-bd09-222e55d56371	0	9/10/2019 1:41	user	Cortana Cortana.	NOTSURE	notsure_not_judged	cortana cortana	[]				13
Teams5845a6ed-3c0c-4ef5-b20c-76a2cae32313	0	9/20/2019 5:32	user	Return.	NOTSURE	notsure_not_judged	return	[]				3
Teamse130fbbf-eedf-4b43-817e-03759b6f95d6	0	9/26/2019 9:31	user	Who is deathtrap?	NOTSURE	notsure_not_judged	Who is deathtrap?	[]				1
Teams77879004-0702-4083-b039-dcb439321fb3	0	9/10/2019 10:08	user	Hey Cortana, call my operating.	NOTSURE	notsure_not_judged	hey cortana, call my operating	[]				1
Teams8ca313ef-1f1a-4dad-8e87-2f69572a1fff	0	9/27/2019 7:03	user	Hey Cortana, this chat.	NOTSURE	notsure_not_judged	hey cortana, this chat	[]				1
Teams2fc24068-a0ed-4ed6-ab9d-4578590e9392	0	9/2/2019 9:20	user	Cortana open settings?	NOTSURE	notsure_not_judged	cortana open settings	[]				1
Teamsf4771fa4-7317-4a5c-8066-b99ca743a1be	0	9/24/2019 8:04	user	Eat dinner.	NOTSURE	notsure_not_judged	eat dinner	[]				1
Teams0a9c9c22-1ef4-42b9-a60c-adee185cd9ae	0	9/6/2019 3:56	user	Shelly had a Taco salad for lunch and also bought a Lego Pinata for her daughter Juliet's birthday.	NOTSURE	notsure_not_judged	shelly had a taco salad for lunch and also bought a lego pinata for her daughter juliet's birthday	[]				1
Teamsfa2a9fd8-9ecd-48d8-bd55-c5554ddbf649	0	9/16/2019 23:33	user	This is the throne cash where it's like if we go look at ease in Essence.	NOTSURE	notsure_not_judged	this is the throne cash where it's like if we go look at ease in essence	[]				1
Teams9f0cd757-890b-4c15-9350-65864655ca82	0	9/23/2019 19:19	user	Add August.	NOTSURE	notsure_not_judged	add august	[]				1
Teamsd79f46eb-d86b-42b3-aee5-7199a5822975	0	9/29/2019 7:15	user	Hey Cortana. Who does show mean report 2?	NOTSURE	notsure_not_judged	hey cortana. who does show mean report 2	[]				1
Teams43b1a27c-0b8a-4723-866a-77acfeca34b7	0	9/26/2019 9:40	user	Hey Cortana set the desk.	NOTSURE	notsure_not_judged	hey cortana set the desk	[]				1
Teams743b13e9-4190-479e-9021-65ebabb1e9d1	0	9/18/2019 2:59	user	Who is the team?	NOTSURE	notsure_not_judged	who is the team	[]				2
Teams67ad206b-408a-4fdb-a460-c045cfb02dc4	0	9/23/2019 10:46	user	None.	NOTSURE	notsure_not_judged	none	[]				1
Teams234c97b0-7c75-445e-b29c-0fb84b4d56eb	0	9/18/2019 17:01	user	Yeah.	NOTSURE	notsure_not_judged	yeah	[]				14
Teams0e870185-a859-4ecc-bb53-b51f82b844c2	0	9/24/2019 19:23	user	Hey Cortana, like on Google.	NOTSURE	notsure_not_judged	hey cortana, like on google	[]				1
Teamsd47d705e-8b25-4a5a-9965-bad00974affc	0	9/2/2019 6:09	user	The second one.	NOTSURE	notsure_not_judged	the second one	[]				2
Teamsa87ab8de-ae84-49be-a705-c1d29c126780	0	9/29/2019 7:50	user	Which is the material?	NOTSURE	notsure_not_judged	which is the material	[]				1
Teams39d4914c-721d-440b-b376-e091fde386c5	0	9/17/2019 20:47	user	You see that little paddle.	NOTSURE	notsure_not_judged	you see that little paddle	[]				1
Teams33d7b0ac-37f2-4e0c-8502-4847fa17871d	0	9/15/2019 14:49	user	Hey Cortana, can you please write up is Achmed.	NOTSURE	notsure_not_judged	hey cortana, can you please write up is achmed	[]				1
Teamsedad2b37-417d-4d38-bc53-2361d259ca9d	0	9/19/2019 5:05	user	The weather.	NOTSURE	notsure_not_judged	the weather	[]				1
Teams1096d8e1-ff8c-41f2-bbc1-9c05e3127d04	0	9/23/2019 10:04	user	Who is Allah order?	NOTSURE	notsure_not_judged	who is allah order	[]				1
Teams741acacb-27fe-4dd9-acf6-7537497259be	0	9/4/2019 18:06	user	Hey Cortana, when are the Teen Choice Awards?	NOTSURE	notsure_not_judged	hey cortana, when are the teen choice awards	[]				1
Teamsef878dea-f2b4-420d-8824-b8a821cd6465	0	9/4/2019 21:37	user	Hey Cortana. Who is Andrew Shuman?	NOTSURE	notsure_not_judged	hey cortana. who is andrew shuman	[]				1
Teamsb921b0ac-884f-4802-a08b-17e662c7b685	0	9/10/2019 21:12	user	Henry.	NOTSURE	notsure_not_judged	henry	[]				1
Teams8eacfbeb-be65-4ddb-a414-07b43df332a5	0	9/18/2019 11:29	user	Open quality of answers stock.	NOTSURE	notsure_not_judged	open quality of answers stock	[]				1
Teamsf5ceed7e-8a7a-4ad9-b833-0afc7bda234a	0	9/9/2019 10:30	user	First one.	NOTSURE	notsure_not_judged	first one	[]				2
Teams7c86498c-9b8a-4075-8366-51830c2d6552	0	9/9/2019 14:17	user	Show me the meaning.	NOTSURE	notsure_not_judged	show me the meaning	[]				1
Teams12056558-916f-40d1-b110-97a03f02112f	0	9/24/2019 7:46	user	Open Release Criteria.	NOTSURE	notsure_not_judged	open release criteria	[]				1
Teams4f2bda9d-eb6c-4882-a9f9-03aa11e002c3	0	9/6/2019 10:38	user	Hey Cortana. Share.	NOTSURE	notsure_not_judged	Hey Cortana. Share.	[]				2
Teamsf4228173-70fc-47f3-a946-52072d6102f4	0	9/26/2019 9:37	user	See my status to busy.	NOTSURE	notsure_not_judged	see my status to busy	[]				1
Teams492f8db4-3b0c-4f2a-b01d-b83374a324c9	0	9/18/2019 11:14	user	Open Q 30 cares.	NOTSURE	notsure_not_judged	Open Q 30 cares.	[]				1
Teams570c5fe8-d7fa-4e24-a6f1-e802cb75929f	0	9/26/2019 5:32	user	I need to open incident.	NOTSURE	notsure_not_judged	i need to open incident	[]				3
Teams98b8dc7c-5b93-407c-849f-5fd83be52ffe	0	9/5/2019 6:47	user	Hey Cortana show recent 1st to the chat.	NOTSURE	notsure_not_judged	hey cortana show recent 1st to the chat	[]				1
Teamsd1d4729b-ffe5-4347-934f-6b0bd15caebf	0	9/27/2019 2:00	user	Launch iron you in building 32.	NOTSURE	notsure_not_judged	launch iron you in building 32	[]				1
Teams570be0da-e033-4005-8021-2d787b4032ad	0	9/9/2019 22:31	user	File with Abraham Jacob.	NOTSURE	notsure_not_judged	File with Abraham Jacob.	[]				1
Teams429e434c-e52c-42ec-a63e-3d821e77f46c	0	9/12/2019 15:37	user	Set.	NOTSURE	notsure_not_judged	set	[]				2
Teamsa067a410-6898-42b3-af6b-8bd99995d24a	0	9/10/2019 0:29	user	Alright, let me get my Phone.	NOTSURE	notsure_not_judged	alright, let me get my phone	[]				1
Teams1704d54c-5601-49ee-9b10-6363925b6286	0	9/4/2019 17:52	user	Hey Cortana, call me an Uber.	NOTSURE	notsure_not_judged	hey cortana, call me an uber	[]				1
Teams6e478528-da8f-40ad-93da-6fcf5b5027f7	0	9/30/2019 7:07	user	Well, the answer to that.	NOTSURE	notsure_not_judged	well, the answer to that	[]				1
Teamsf6b7ed84-5da4-46d4-bbd3-9bb97f08fb61	0	9/10/2019 22:12	user	Gun show.	NOTSURE	notsure_not_judged	gun show	[]				1
Teams21e8ff13-74a1-42c7-b46f-4755e905d6ea	0	9/6/2019 19:09	user	Hey Cortana, what hotels does Starwood on?	NOTSURE	notsure_not_judged	hey cortana, what hotels does starwood on	[]				1
Teamsbe704c2c-07f4-4737-9eb3-a7346480cc40	0	9/4/2019 18:20	user	Hey Cortana, what time is the Thunder game?	NOTSURE	notsure_not_judged	hey cortana, what time is the thunder game	[]				1
Teamsfd9f15ea-d2ef-48d0-b3c0-9776b8020148	0	9/19/2019 20:42	user	Hey Cortana, what's the weather like right now?	NOTSURE	notsure_not_judged	hey cortana, what's the weather like right now	[]				1
Teamscecb68f2-b301-4974-83c2-34faca6550e6	0	9/16/2019 18:37	user	Going through human.	NOTSURE	notsure_not_judged	going through human	[]				1
Teamsc8388050-9db1-4722-8a88-a282ed404bff	0	9/2/2019 9:46	user	Cortana cancel.	NOTSURE	notsure_not_judged	cortana cancel	[]				1
Teams232f9769-0450-44e9-b4be-ff74fe7e51cc	0	9/3/2019 16:57	user	The money we don't measure. Plus hum Jesse table.	NOTSURE	notsure_not_judged	the money we don't measure. plus hum jesse table	[]				1
Teams5676a357-3eb3-4430-b2fe-d9fec5525b2c	0	9/16/2019 12:16	user	So now Mister Rose.	NOTSURE	notsure_not_judged	so now mister rose	[]				1
Teams227f4ab4-e20e-4877-b027-bda9a581c617	0	9/9/2019 7:22	user	Something to the truth.	NOTSURE	notsure_not_judged	something to the truth	[]				1
Teams73b608ec-5b35-4ae7-8089-d1b8fc0079d8	0	9/23/2019 20:50	user	Abraham Jacob.	NOTSURE	notsure_not_judged	abraham jacob	[]				1
Teams25fb4e2a-af08-4e18-9a9b-56e9fbff70a5	0	9/17/2019 3:27	user	Cortana controller bill did appear Niggle Phone from them yet.	NOTSURE	notsure_not_judged	cortana controller bill did appear niggle phone from them yet	[]				1
Teams38261580-7272-4ea5-91ca-40452fcde009	0	9/4/2019 8:53	user	Open WhatsApp.	NOTSURE	notsure_not_judged	open whatsapp	[]				5
Teams18779742-2c7a-4e65-81c8-19e42bba3218	0	9/26/2019 2:59	user	Hello Mrs Cortana.	NOTSURE	notsure_not_judged	hello mrs cortana	[]				1
Teams94da43d3-2b0e-4b6b-9bbb-4ff6ccf89276	0	9/27/2019 19:44	user	Google.	NOTSURE	notsure_not_judged	google	[]				1
Teams364f5731-ac21-496a-8a11-f58629b6ce82	0	9/11/2019 12:36	user	Send feedback.	NOTSURE	notsure_not_judged	send feedback	[]				22
Teams2d25dcaf-1a88-4cf7-b6f5-fb02f4455b3c	0	9/16/2019 18:40	user	Let's hear a Weinberg know that I will be late on teams.	NOTSURE	notsure_not_judged	let's hear a weinberg know that i will be late on teams	[]				1
Teams998729c2-799e-47e8-86bc-df10d2ed5eca	0	9/18/2019 5:24	user	Open.	NOTSURE	notsure_not_judged	open	[]				4
Teams7431f00d-425b-410a-b817-5887268a3ecc	0	9/4/2019 13:20	user	Hey Cortana 216 milliseconds. Join test, meet.	NOTSURE	notsure_not_judged	hey cortana 216 milliseconds. join test, meet	[]				1
Teams45ef7b80-7c91-46e0-9352-ef92054fd6a0	0	9/20/2019 8:39	user	Demo script.	NOTSURE	notsure_not_judged	demo script	[]				8
Teamsa4ecd1a4-57d7-40f3-9cdb-55e0dd21aeab	0	9/17/2019 22:01	user	Absolutely.	NOTSURE	notsure_not_judged	absolutely	[]				1
Teamsf64ed4e5-009c-46e0-9836-b87196f8353a	0	9/2/2019 11:18	user	Cool girl bomb.	NOTSURE	notsure_not_judged	cool girl bomb	[]				1
Teamsc2170050-a820-49e1-ba80-dab3998d151f	0	9/24/2019 7:49	user	Hey Cortana, go to settings.	NOTSURE	notsure_not_judged	hey cortana, go to settings	[]				2
Teamsfade3b56-309c-490c-a338-776166789c1e	0	9/27/2019 23:20	user	What are your capabilities?	NOTSURE	notsure_not_judged	what are your capabilities	[]				1
Teamsea8ec4e4-7de6-4479-b693-b564adace82a	0	9/10/2019 19:48	user	Team.	NOTSURE	notsure_not_judged	team	[]				1
Teamsbae55dff-adc7-4392-849e-58e7872a7cbe	0	9/3/2019 13:10	user	Hey Cortana,	NOTSURE	notsure_not_judged	hey cortana	[]				5
Teams9889dd76-c189-4290-9632-b4de0eb5694a	0	9/4/2019 11:44	user	Hey Cortana. More options.	NOTSURE	notsure_not_judged	hey cortana. more options	[]				4
Teamsd55e4e1d-5a8b-4253-bf2c-6364923ea91c	0	9/11/2019 18:42	user	Send email.	NOTSURE	notsure_not_judged	send email	[]				1
Teams5f08a27f-e930-4a19-bb2e-f5b845e7d89a	0	9/4/2019 5:30	user	Bluetooth settings.	NOTSURE	notsure_not_judged	bluetooth settings	[]				1
Teamsc70cc923-1a87-428f-a6d3-05f422768f89	0	9/16/2019 7:40	user	What is next?	NOTSURE	notsure_not_judged	What is next?	[]				3
Teams8efbfc75-1d14-4499-955e-8c5ba28c7224	0	9/20/2019 7:55	user	Hey Cortana. Hello Hello Hello.	NOTSURE	notsure_not_judged	hey cortana. hello hello hello	[]				3
Teams71905cfa-32af-4a61-9399-749029074d18	0	9/20/2019 23:51	user	501-6637.	NOTSURE	notsure_not_judged	501-6637.	[]				1
Teams13aed83d-9ad2-46f2-a47f-8e9dcc665f1e	0	9/4/2019 17:41	user	Hey Cortana, unlock the door.	NOTSURE	notsure_not_judged	hey cortana, unlock the door	[]				1
Teamsc7ff1a3f-ab06-463e-a541-7562d371e874	0	9/6/2019 16:55	user	And for this week.	NOTSURE	notsure_not_judged	and for this week	[]				1
Teamsed6a7c7a-11a4-4430-879e-58386294c469	0	9/19/2019 4:42	user	Play music.	NOTSURE	notsure_not_judged	play music	[]				5
Teamsb4867871-7821-4ba6-a942-185890829646	0	9/10/2019 5:01	user	Looking at them.	NOTSURE	notsure_not_judged	looking at them	[]				1
Teamsb2824bb9-5c1e-49df-8b06-168daec5b011	0	9/10/2019 0:30	user	Cortana Laggy?	NOTSURE	notsure_not_judged	cortana laggy	[]				1
Teams482096f1-9375-4759-a293-163c0882a43c	0	9/30/2019 23:24	user	Open Vibranium-June2019.	NOTSURE	notsure_not_judged	open vibranium-june2019	[]				1
Teamsc30eca01-78cc-4235-acda-1e9f2febe177	0	9/9/2019 11:52	user	Wait into the tank.	NOTSURE	notsure_not_judged	wait into the tank	[]				1
Teams9f81ce53-4e54-4a51-863a-7834605029ec	0	9/20/2019 13:27	user	IQ discussion.	NOTSURE	notsure_not_judged	iq discussion	[]				1
Teamsf1472e19-b7b7-4d60-a7c2-1ee4b372d57d	0	9/4/2019 5:46	user	What is a deviant?	NOTSURE	notsure_not_judged	what is a deviant	[]				1
Teams70a491bf-ccf4-4b91-95f6-6da253901228	0	9/5/2019 21:46	user	What's the weather like today?	NOTSURE	notsure_not_judged	what's the weather like today	[]				1
Teamsdd222951-3f24-46b5-9a57-5cdb8b79c368	0	9/10/2019 7:26	user	Cool.	NOTSURE	notsure_not_judged	cool	[]				1
Teamsf3221c07-d1ee-48cf-a65f-8370e371870c	0	9/27/2019 23:17	user	Can you hear me?	NOTSURE	notsure_not_judged	can you hear me	[]				1
Teams297c58fc-494f-4500-babb-7c8964f6218f	0	9/26/2019 9:28	user	It can. I say something to know, do it. Understand it is saying already.	NOTSURE	notsure_not_judged	it can. i say something to know, do it. understand it is saying already	[]				1
Teamsdf2efc1a-bbbd-4779-93db-3e666336ecb7	0	9/12/2019 10:03	user	September 13th tomorrow heading. No Internet voiceover off.	NOTSURE	notsure_not_judged	september 13th tomorrow heading. no internet voiceover off	[]				1
Teams0fcaf988-2997-4286-b715-d5389c90bf04	0	9/26/2019 17:49	user	This is single turn test message.	NOTSURE	notsure_not_judged	this is single turn test message	[]				1
Teams77c14b18-c100-467a-a8e1-c253ac9718d9	0	9/4/2019 17:50	user	Hey Cortana. What is Michael Jackson's Top hit?	NOTSURE	notsure_not_judged	hey cortana. what is michael jackson's top hit	[]				2
Teamsa6a4629a-57a9-4298-9227-b44a8d11003c	0	9/5/2019 10:26	user	Boise State.	NOTSURE	notsure_not_judged	boise state	[]				1
Teams528b7f43-ef1d-44a2-a161-c07e9eccda77	0	9/11/2019 5:18	user	Create.	NOTSURE	notsure_not_judged	create	[]				2
